discontinuity_id,first_flagged_utc,last_flagged_utc,flagged_state_count,maximum_position_loo_error_km,maximum_velocity_loo_error_m_s,position_threshold_km,velocity_threshold_m_s,coast_exclusion_buffer_min,interpretation
X01,2026-04-02T01:58:42.787000Z,2026-04-02T02:03:39.337000Z,2,0.042589325,0.465152476,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X02,2026-04-02T03:07:39.337000Z,2026-04-02T03:30:56.675000Z,5,0.802695075,8.159860925,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X03,2026-04-02T09:56:37.964000Z,2026-04-02T10:01:29.758000Z,2,5.581688118,36.565511175,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X04,2026-04-02T12:07:50.084000Z,2026-04-02T12:12:15.296000Z,2,0.292709797,3.098730544,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X05,2026-04-02T12:41:48.889000Z,2026-04-02T12:45:30.588000Z,2,0.046310297,0.368974221,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X06,2026-04-02T18:17:12.084000Z,2026-04-02T18:18:56.675000Z,2,1.883330983,8.902968467,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X07,2026-04-02T21:08:19.597000Z,2026-04-02T21:12:14.885000Z,2,0.085522929,0.531796059,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X08,2026-04-02T22:08:14.885000Z,2026-04-02T22:12:30.934000Z,2,0.072211559,0.436122890,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X09,2026-04-02T22:56:30.934000Z,2026-04-03T00:38:48.802000Z,30,4.625758966,10.598531956,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X10,2026-04-03T15:27:39.017000Z,2026-04-03T15:30:48.802000Z,2,0.772708447,4.534135701,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X11,2026-04-03T17:34:48.802000Z,2026-04-03T17:39:03.815000Z,2,0.064085483,0.426882117,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X12,2026-04-04T09:31:04.092000Z,2026-04-04T09:34:48.802000Z,2,2.470325045,15.196317055,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X13,2026-04-04T18:06:01.041000Z,2026-04-04T18:10:48.802000Z,2,0.329841599,2.147937172,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
