filename,format,audit_status,sha256,creation_utc,start_utc,stop_utc,state_rows,historical_or_reconstructed_rows,predicted_rows,median_cadence_s,minimum_cadence_s,maximum_cadence_s,object_name,center_name,reference_frame,time_system,position_unit,velocity_unit,wrapper_prefix_lines,qualification_note
OEM - 2026.04.02 - post-USS-2 to EI.asc,CCSDS_OEM_2.0,eligible_after_split,a5c7ffd2c2111019fa3773c13dbb638a778583387a2039d7e31e9a6f79a89fd9,2026-04-02T03:53:40Z,2026-04-02T03:26:56.675000Z,2026-04-10T23:53:30.512000Z,3193,7,3186,240.000,60.000,288.576,EM2,EARTH,EME2000,UTC,km,km/s,108,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_02_to_EI_v3.asc,CCSDS_OEM_2.0,eligible_after_split,a5ba0bc851b54e5a96755bede71d3e2aa5b1d60763e293fe43a0c26aa0488a29,2026-04-02T14:06:23Z,2026-04-02T03:07:49.583000Z,2026-04-10T23:53:12.332000Z,3212,178,3034,240.000,60.000,291.794,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_03_to_EI.asc,CCSDS_OEM_2.0,eligible_after_split,7cdba5f57a5cb9906c9d85ebf556664011ffa4197b1e7c3a51f1a3544abe8a9e,2026-04-03T01:32:08Z,2026-04-02T01:57:37.084000Z,2026-04-10T23:53:24.536000Z,3239,376,2863,240.000,60.000,296.550,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_04_to_EI.asc,CCSDS_OEM_2.0,eligible_after_split,4fc3286029dc46ce57a1b00d9d74ad6807235f43872e85f82ffb2fecda2ad82e,2026-04-03T23:45:26Z,2026-04-02T01:57:37.084000Z,2026-04-10T23:53:17.163000Z,3235,710,2525,240.000,60.000,296.550,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,CCSDS_OEM_2.0,eligible_after_split,b363f48b58a86110fdafef452017f84758f56e5b34afc11a2de8f87df7785277,2026-04-06T12:18:50Z,2026-04-05T04:35:05.944000Z,2026-04-10T23:53:21.112000Z,2106,484,1622,240.000,61.466,252.293,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,CCSDS_OEM_2.0,eligible_after_split,98fcf8913e1b69283c48d8d78a7622c83d82ab7eb7fcecf91c34ab1559ae32e7,2026-04-07T12:47:44Z,2026-04-06T17:34:51.667000Z,2026-04-10T23:53:21.581000Z,1544,289,1255,240.000,62.977,255.307,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_08_Post-ICPS-Sep_to_EI.asc,CCSDS_OEM_2.0,eligible_after_split,e8a7bb57c00778bdf8a75033956d4e4611bf8f5ec625184ce29f8486cc500c58,2026-04-08T01:49:15Z,2026-04-02T01:57:37.084000Z,2026-04-10T23:54:08.571000Z,3259,2199,1060,240.000,60.000,296.550,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_09_Post-ICPS-Sep_to_EI.asc,CCSDS_OEM_2.0,eligible_after_split,b3d9eb49798fd51b94be0a4235903a6eef70ab1b70d8b4753715bba992d68a06,2026-04-08T22:20:54Z,2026-04-02T01:57:37.084000Z,2026-04-10T23:53:29.872000Z,3259,2507,752,240.000,60.000,296.550,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
Artemis_II_OEM_2026_04_10_Post-ICPS-Sep-to-EI.asc,CCSDS_OEM_2.0,eligible_after_split,9def718e2aefe3205e0ff4e2546db0e06763c07a8fcccad8dc01929b9d9c5859,2026-04-10T03:22:19Z,2026-04-02T01:57:37.084000Z,2026-04-10T23:53:16.723000Z,3262,2951,311,240.000,60.000,296.550,EM2,EARTH,EME2000,UTC,km,km/s,0,Epoch classification is an audit convention: states at or before CREATION_DATE are historical/reconstructed; later states are predicted.
2026.04.10 - Post-RTC3 to EI,PROP_MAN_11.0,quarantined_pending_frame_and_column_definition,8228b8981592e47a7ae7b919f7f2bb8a2621e1d9d1bd9e906790fe7b1019b66c,,,,820,,,1.000,,,,,M50,mission-relative epoch not yet qualified,ft,ft/s,0,"Excluded until PROP_MAN epoch, M50 realization, and eighth-column semantics are supported by an authoritative definition."
