older_release,newer_release,newer_creation_utc,horizon_from_newer_creation_h,evaluation_utc,older_solution_role,newer_solution_role,position_revision_km,velocity_revision_m_s,interpretation
OEM - 2026.04.02 - post-USS-2 to EI.asc,Artemis_II_OEM_2026_04_02_to_EI_v3.asc,2026-04-02T14:06:23Z,0,2026-04-02T14:06:23Z,prediction,historical_or_reconstructed,16.150306517,0.408598933,"solution revision, not measurement error or truth residual"
OEM - 2026.04.02 - post-USS-2 to EI.asc,Artemis_II_OEM_2026_04_02_to_EI_v3.asc,2026-04-02T14:06:23Z,6,2026-04-02T20:06:23Z,prediction,prediction,10.550753427,0.435919601,"solution revision, not measurement error or truth residual"
OEM - 2026.04.02 - post-USS-2 to EI.asc,Artemis_II_OEM_2026_04_02_to_EI_v3.asc,2026-04-02T14:06:23Z,24,2026-04-03T14:06:23Z,prediction,prediction,4.785265821,0.018843482,"solution revision, not measurement error or truth residual"
OEM - 2026.04.02 - post-USS-2 to EI.asc,Artemis_II_OEM_2026_04_02_to_EI_v3.asc,2026-04-02T14:06:23Z,48,2026-04-04T14:06:23Z,prediction,prediction,3.861018792,0.019146035,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_02_to_EI_v3.asc,Artemis_II_OEM_2026_04_03_to_EI.asc,2026-04-03T01:32:08Z,0,2026-04-03T01:32:08Z,prediction,historical_or_reconstructed,3.823819321,0.349597145,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_02_to_EI_v3.asc,Artemis_II_OEM_2026_04_03_to_EI.asc,2026-04-03T01:32:08Z,6,2026-04-03T07:32:08Z,prediction,prediction,6.659027332,0.182854123,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_02_to_EI_v3.asc,Artemis_II_OEM_2026_04_03_to_EI.asc,2026-04-03T01:32:08Z,24,2026-04-04T01:32:08Z,prediction,prediction,14.265535813,0.031854624,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_02_to_EI_v3.asc,Artemis_II_OEM_2026_04_03_to_EI.asc,2026-04-03T01:32:08Z,48,2026-04-05T01:32:08Z,prediction,prediction,13.738706781,0.017962838,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_03_to_EI.asc,Artemis_II_OEM_2026_04_04_to_EI.asc,2026-04-03T23:45:26Z,0,2026-04-03T23:45:26Z,prediction,historical_or_reconstructed,2.290968972,0.186761106,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_03_to_EI.asc,Artemis_II_OEM_2026_04_04_to_EI.asc,2026-04-03T23:45:26Z,6,2026-04-04T05:45:26Z,prediction,prediction,4.846229800,0.189872053,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_03_to_EI.asc,Artemis_II_OEM_2026_04_04_to_EI.asc,2026-04-03T23:45:26Z,24,2026-04-04T23:45:26Z,prediction,prediction,17.375417375,0.212089313,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_03_to_EI.asc,Artemis_II_OEM_2026_04_04_to_EI.asc,2026-04-03T23:45:26Z,48,2026-04-05T23:45:26Z,prediction,prediction,12.768824761,0.066286914,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_04_to_EI.asc,Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,2026-04-06T12:18:50Z,0,2026-04-06T12:18:50Z,prediction,historical_or_reconstructed,143.282636312,1.691791336,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_04_to_EI.asc,Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,2026-04-06T12:18:50Z,6,2026-04-06T18:18:50Z,prediction,prediction,147.524351592,2.173813132,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_04_to_EI.asc,Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,2026-04-06T12:18:50Z,24,2026-04-07T12:18:50Z,prediction,prediction,125.613699757,0.461187878,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_04_to_EI.asc,Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,2026-04-06T12:18:50Z,48,2026-04-08T12:18:50Z,prediction,prediction,96.146483624,0.379019331,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,2026-04-07T12:47:44Z,0,2026-04-07T12:47:44Z,prediction,historical_or_reconstructed,19.347728181,0.277690235,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,2026-04-07T12:47:44Z,6,2026-04-07T18:47:44Z,prediction,prediction,25.152718826,0.286614365,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,2026-04-07T12:47:44Z,24,2026-04-08T12:47:44Z,prediction,prediction,25.100163736,0.128918890,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_06_Pre-OTC3_to_EI.asc,Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,2026-04-07T12:47:44Z,48,2026-04-09T12:47:44Z,prediction,prediction,14.506694627,0.145572141,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,Artemis_II_OEM_2026_04_08_Post-ICPS-Sep_to_EI.asc,2026-04-08T01:49:15Z,0,2026-04-08T01:49:15Z,prediction,historical_or_reconstructed,1.386565561,0.082925249,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,Artemis_II_OEM_2026_04_08_Post-ICPS-Sep_to_EI.asc,2026-04-08T01:49:15Z,6,2026-04-08T07:49:15Z,prediction,prediction,7.087775910,0.163778700,"solution revision, not measurement error or truth residual"
Artemis_II_OEM_2026_04_07_Pre-Lunar-Flyby_to_EI.asc,Artemis_II_OEM_2026_04_08_Post-ICPS-Sep_to_EI.asc,2026-04-08T01:49:15Z,24,2026-04-09T01:49:15Z,prediction,prediction,17.048197607,0.154030757,"solution revision, not measurement error or truth residual"
