dimension,value,all_twenty_seeds,all_five_folds,qml_family_id,classical_family_id,qualified_residual_regime,qml_mean_nrmse,classical_mean_nrmse,a01_mean_nrmse,compressed_c05_mean_nrmse,qml_minus_classical_ci_upper,qml_minus_a01_ci_upper,qml_minus_compressed_c05_ci_upper,classical_sign_permutation_pvalue,classical_holm_adjusted_pvalue,every_fold_mean_difference_below_zero,campaign_source_commit,reporting_source_commit,accepted_d007_candidate_commit,reporting_module_sha256,reporting_script_sha256,figure_generator_sha256
base_trajectory_family,C,True,True,Q01,C06,False,0.38766651331257507,0.010696126833405201,0.3728494275226201,0.3260078639905369,0.3932632138158729,0.043943503898516034,0.07611462465165002,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
base_trajectory_family,T,False,False,Q01,C06,False,,,,,,,,,,,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
boundary_or_tail,false,True,True,Q01,C06,False,0.6439557750084494,0.008824428818522616,0.5199446600838318,0.49819791597201357,0.6447475231710574,0.14450946978633913,0.15640223693390673,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
boundary_or_tail,true,True,True,Q01,C06,False,0.6545149479820325,0.008477935610934273,0.5274502459799433,0.5059601953343499,0.6557894925148925,0.14749940799570155,0.16004191960994318,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
fidelity,F0,True,True,Q01,C06,False,0.28869802116258536,0.008737464003302072,0.3265501387384907,0.286493253037423,0.2942859044263747,-0.011687182611195682,0.018663598591051045,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
fidelity,F1,True,True,Q01,C06,False,0.6927001005214202,0.008739344894766146,0.551337034415095,0.5312838250434135,0.6937242234993839,0.16225023231578786,0.17325568716469922,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
fidelity,F2,True,True,Q01,C06,False,0.6849389223856891,0.008739152802780575,0.5344164344645481,0.5141187108993718,0.6859331093895904,0.1727950931088003,0.18250025322666263,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
reference_feasible_status,no_reference_feasible,True,True,Q01,C06,False,0.8267148659784169,0.0005041947130086301,0.6524134001321429,0.644426746929883,0.8356513010624772,0.19447562484773953,0.1961857124244891,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
reference_feasible_status,reference_feasible,True,True,Q01,C06,False,0.32114871752014446,0.012880595740848174,0.29591998247609547,0.23528316092411344,0.3353427332360666,0.07215666166247298,0.11211115301027155,9.999000099990002e-05,0.0007999200079992001,False,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
uncertainty_family,U0,False,False,Q01,C06,False,,,,,,,,,,,6e5a6202eec486e88af6b969f6af86571fb0ce32,7b7db694cd7911a2643950c4c57f993046271a95,7a726c8917a85f24313208eb18c33e1ccb5f703e,dd56a2ed3b4dc841669f486c14eb7ce8f7da66fbcc3db3883ea4492aed22c7e2,13c9b3eb1e47d984f87050ea1c972c501b63feed93440e6eb8a2f4a26b92a3d9,5abc0e5b675daf0f7fa4bf5438eb06856fbfc454557ed0ea59173efa02609fd7
