model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
C06,C06,CV01,1,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,1,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,1,6500,0.11025652507174499,0.9684294701243649,0.7287324906047147,0.9699863574351978,0.17617214064431871,,,,,,
C06,C06,CV01,2,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,2,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,2,6500,0.10916571473626759,0.9629392175744689,0.7201913221728733,0.9718764407561088,0.1715781916656486,,,,,,
C06,C06,CV01,3,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,3,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,3,6500,0.11467945641886373,0.9615487258718565,0.72736590365562,0.9725902238465053,0.18396421220105108,,,,,,
C06,C06,CV01,4,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,4,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,4,6500,0.11859873080212235,0.9662432847961655,0.7236077895456099,0.9724517906336089,0.18226548658944947,,,,,,
C06,C06,CV01,5,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,5,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,5,6500,0.10651891315898197,0.967837588427269,0.7249743764947045,0.9711670480549199,0.17171089564332873,,,,,,
C06,C06,CV01,6,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,6,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,6,6500,0.1088735477501498,0.9628310724695551,0.7290741373419883,0.9726526891522334,0.17376279971181624,,,,,,
C06,C06,CV01,7,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,7,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,7,6500,0.10753353765543387,0.9675734887104066,0.7263409634437991,0.9738891433806688,0.17705532357456588,,,,,,
C06,C06,CV01,8,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,8,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,8,6500,0.12526863781376701,0.9663795418912159,0.703450632046464,0.9739829706717124,0.19676724725776754,,,,,,
C06,C06,CV01,9,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,9,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,9,6500,0.11989836855163076,0.9616387989831109,0.7232661428083362,0.9742291762540267,0.1853301193694409,,,,,,
C06,C06,CV01,10,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,10,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
C02,C02,CV01,10,6500,0.11251073925311696,0.9648270715787683,0.7208746156474206,0.9736963544070143,0.18158756682638863,,,,,,
C06,C06,CV01,11,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.035541521155571944,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.14153846153846153
BASELINE,BASELINE,CV01,11,6500,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692,0.07245273513898275,0.030937626599184902,0.04580385707423244,9.29397319264077,0.010769230769230769,0.14153846153846153
