outer_fold,seed_index,q,lambda,quantum_model_id,classical_model_id,quantum_delta_l2,classical_delta_l2,validation_outcomes_used
CV01,1,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116760393753511,0.6970419221532465,0
CV01,1,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116760393753511,0.6970419221532465,0
CV01,1,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116760393753511,0.6970419221532465,0
CV01,1,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9083386593018493,0.6856726407688585,0
CV01,1,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9083386593018493,0.6856726407688585,0
CV01,1,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9083386593018493,0.6856726407688585,0
CV01,1,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.005820544985306,0.8523983310858916,0
CV01,1,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.005820544985306,0.8523983310858916,0
CV01,1,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.005820544985306,0.8523983310858916,0
CV01,2,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167673793484691,0.6970231158757909,0
CV01,2,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167673793484691,0.6970231158757909,0
CV01,2,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167673793484691,0.6970231158757909,0
CV01,2,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.907864325714624,0.685661063334438,0
CV01,2,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.907864325714624,0.685661063334438,0
CV01,2,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.907864325714624,0.685661063334438,0
CV01,2,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0056122404055017,0.8525539998389451,0
CV01,2,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0056122404055017,0.8525539998389451,0
CV01,2,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0056122404055017,0.8525539998389451,0
CV01,3,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167803458309298,0.6970281308452014,0
CV01,3,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167803458309298,0.6970281308452014,0
CV01,3,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167803458309298,0.6970281308452014,0
CV01,3,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080304599974184,0.6856765991609537,0
CV01,3,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080304599974184,0.6856765991609537,0
CV01,3,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080304599974184,0.6856765991609537,0
CV01,3,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0050182219823918,0.852105309849123,0
CV01,3,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0050182219823918,0.852105309849123,0
CV01,3,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0050182219823918,0.852105309849123,0
CV01,4,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.1167836892087366,0.6969706133469481,0
CV01,4,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.1167836892087366,0.6969706133469481,0
CV01,4,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.1167836892087366,0.6969706133469481,0
CV01,4,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9086424638456737,0.6858108951971917,0
CV01,4,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9086424638456737,0.6858108951971917,0
CV01,4,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9086424638456737,0.6858108951971917,0
CV01,4,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0058416297253776,0.852407598139684,0
CV01,4,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0058416297253776,0.852407598139684,0
CV01,4,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0058416297253776,0.852407598139684,0
CV01,5,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116848533488621,0.6970189230486608,0
CV01,5,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116848533488621,0.6970189230486608,0
CV01,5,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116848533488621,0.6970189230486608,0
CV01,5,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9080220667763161,0.6856092096776977,0
CV01,5,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9080220667763161,0.6856092096776977,0
CV01,5,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9080220667763161,0.6856092096776977,0
CV01,5,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0059375022164747,0.8523091957178484,0
CV01,5,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0059375022164747,0.8523091957178484,0
CV01,5,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0059375022164747,0.8523091957178484,0
CV01,6,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116789940513996,0.6970212792063475,0
CV01,6,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116789940513996,0.6970212792063475,0
CV01,6,4,0.5,TSQR-04-L050,TAP-RBF-SHR-04-L050,1.116789940513996,0.6970212792063475,0
CV01,6,6,0.1,TSQR-06-L010,TAP-RBF-SHR-06-L010,0.9086237677413954,0.6862773906813127,0
CV01,6,6,0.25,TSQR-06-L025,TAP-RBF-SHR-06-L025,0.9086237677413954,0.6862773906813127,0
CV01,6,6,0.5,TSQR-06-L050,TAP-RBF-SHR-06-L050,0.9086237677413954,0.6862773906813127,0
CV01,6,8,0.1,TSQR-08-L010,TAP-RBF-SHR-08-L010,1.0068294077545095,0.8525991562806933,0
CV01,6,8,0.25,TSQR-08-L025,TAP-RBF-SHR-08-L025,1.0068294077545095,0.8525991562806933,0
CV01,6,8,0.5,TSQR-08-L050,TAP-RBF-SHR-08-L050,1.0068294077545095,0.8525991562806933,0
CV01,7,4,0.1,TSQR-04-L010,TAP-RBF-SHR-04-L010,1.116793170874691,0.6970315516538934,0
CV01,7,4,0.25,TSQR-04-L025,TAP-RBF-SHR-04-L025,1.116793170874691,0.6970315516538934,0
