outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV01,1,GFRK-04-L010,4,1,True,16,256,0.1,175,-8.06677816423174e-15,0
CV01,1,GFRK-06-L010,6,1,True,64,256,0.1,13,-1.413491978310022e-15,0
CV01,1,GFRK-08-L010,8,1,True,256,256,0.1,10,-5.567143362226697e-16,0
CV01,2,GFRK-04-L010,4,1,True,16,256,0.1,175,-9.146904432106077e-15,0
CV01,2,GFRK-06-L010,6,1,True,64,256,0.1,11,-6.391561229032835e-16,0
CV01,2,GFRK-08-L010,8,1,True,256,256,0.1,8,-7.42193161409668e-16,0
CV01,3,GFRK-04-L010,4,1,True,16,256,0.1,175,-9.972045863346414e-15,0
CV01,3,GFRK-06-L010,6,1,True,64,256,0.1,15,-7.789691952071037e-16,0
CV01,3,GFRK-08-L010,8,1,True,256,256,0.1,8,-5.885626842951772e-16,0
CV01,4,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6968686884364568e-14,0
CV01,4,GFRK-06-L010,6,1,True,64,256,0.1,15,-9.011084338032813e-16,0
CV01,4,GFRK-08-L010,8,1,True,256,256,0.1,10,-5.699796054527969e-16,0
CV01,5,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.0554477983739854e-14,0
CV01,5,GFRK-06-L010,6,1,True,64,256,0.1,12,-7.995689562770673e-16,0
CV01,5,GFRK-08-L010,8,1,True,256,256,0.1,18,-3.345748978382297e-15,0
CV01,6,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2833977117949007e-14,0
CV01,6,GFRK-06-L010,6,1,True,64,256,0.1,10,-9.70159727450001e-16,0
CV01,6,GFRK-08-L010,8,1,True,256,256,0.1,10,-8.117742774064453e-16,0
CV01,7,GFRK-04-L010,4,1,True,16,256,0.1,175,-8.619277793844417e-15,0
CV01,7,GFRK-06-L010,6,1,True,64,256,0.1,12,-1.1259688778519484e-15,0
CV01,7,GFRK-08-L010,8,1,True,256,256,0.1,12,-7.448387379957372e-16,0
CV01,8,GFRK-04-L010,4,1,True,16,256,0.1,175,-9.34632368533891e-15,0
CV01,8,GFRK-06-L010,6,1,True,64,256,0.1,7,-3.660457002481096e-16,0
CV01,8,GFRK-08-L010,8,1,True,256,256,0.1,13,-1.168354715914068e-15,0
CV01,9,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6375765314684006e-14,0
CV01,9,GFRK-06-L010,6,1,True,64,256,0.1,11,-5.296147166592237e-16,0
CV01,9,GFRK-08-L010,8,1,True,256,256,0.1,9,-4.671669181923764e-16,0
CV01,10,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2344585563053017e-14,0
CV01,10,GFRK-06-L010,6,1,True,64,256,0.1,13,-8.626197564418524e-16,0
CV01,10,GFRK-08-L010,8,1,True,256,256,0.1,15,-1.2051282758217034e-15,0
CV01,11,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9563904729091895e-14,0
CV01,11,GFRK-06-L010,6,1,True,64,256,0.1,16,-1.5410851567720706e-15,0
CV01,11,GFRK-08-L010,8,1,True,256,256,0.1,8,-4.656672217474007e-16,0
CV01,12,GFRK-04-L010,4,1,True,16,256,0.1,175,-8.64920800386668e-15,0
CV01,12,GFRK-06-L010,6,1,True,64,256,0.1,15,-9.99926117070622e-16,0
CV01,12,GFRK-08-L010,8,1,True,256,256,0.1,6,-1.3885419791135583e-15,0
CV01,13,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0169863746685175e-14,0
CV01,13,GFRK-06-L010,6,1,True,64,256,0.1,12,-9.603590284288045e-16,0
CV01,13,GFRK-08-L010,8,1,True,256,256,0.1,14,-8.090495527376141e-16,0
CV01,14,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.9969849188213174e-14,0
CV01,14,GFRK-06-L010,6,1,True,64,256,0.1,17,-5.868495761845133e-15,0
CV01,14,GFRK-08-L010,8,1,True,256,256,0.1,17,-1.2812112525000455e-15,0
CV01,15,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5932926186126664e-14,0
CV01,15,GFRK-06-L010,6,1,True,64,256,0.1,7,-3.6945987866015827e-16,0
CV01,15,GFRK-08-L010,8,1,True,256,256,0.1,15,-2.562079954381991e-15,0
