outer_fold,seed_index,inner_fold,fit_groups,holdout_groups,group_intersection_count,fit_rows,holdout_rows
CV01,1,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,1,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,1,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,1,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,2,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,2,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,2,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,2,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,3,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,3,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,3,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,3,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,4,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,4,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,4,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,4,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,5,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,5,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,5,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,5,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,6,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,6,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,6,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,6,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
CV01,7,1,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,820,204
CV01,7,2,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,701,323
CV01,7,3,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,836,188
CV01,7,4,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,715,309
