outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV01,1,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3949318701896347e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,1,EC-GFRK-06-L010,6,1,True,64,256,0.1,15,-3.2967393648775693e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,1,EC-GFRK-08-L010,8,1,True,256,256,0.1,16,-1.0225424544397624e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,2,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2220118808161638e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,2,EC-GFRK-06-L010,6,1,True,64,256,0.1,6,-8.69542851246448e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,2,EC-GFRK-08-L010,8,1,True,256,256,0.1,14,-7.525031184372307e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,3,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1098576204914946e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,3,EC-GFRK-06-L010,6,1,True,64,256,0.1,8,-7.494419411985986e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,3,EC-GFRK-08-L010,8,1,True,256,256,0.1,14,-1.236593630980866e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,4,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0994050362618758e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,4,EC-GFRK-06-L010,6,1,True,64,256,0.1,11,-7.792444545348768e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,4,EC-GFRK-08-L010,8,1,True,256,256,0.1,9,-7.171062358325575e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,5,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4880858198438815e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,5,EC-GFRK-06-L010,6,1,True,64,256,0.1,13,-1.1126741502586827e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,5,EC-GFRK-08-L010,8,1,True,256,256,0.1,15,-9.572237008840969e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,6,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2109474769557684e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,6,EC-GFRK-06-L010,6,1,True,64,256,0.1,12,-9.438728034986955e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,6,EC-GFRK-08-L010,8,1,True,256,256,0.1,9,-1.0025149487743396e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,7,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-9.682122043746827e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,7,EC-GFRK-06-L010,6,1,True,64,256,0.1,11,-8.259436674460009e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,7,EC-GFRK-08-L010,8,1,True,256,256,0.1,14,-8.932260271420927e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,8,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-9.596221049463821e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,8,EC-GFRK-06-L010,6,1,True,64,256,0.1,12,-8.2111426268609965e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,8,EC-GFRK-08-L010,8,1,True,256,256,0.1,12,-6.292985420208916e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,9,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2968322541365256e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,9,EC-GFRK-06-L010,6,1,True,64,256,0.1,12,-1.0718844769421242e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,9,EC-GFRK-08-L010,8,1,True,256,256,0.1,11,-1.0064170508192918e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,10,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0040718582886403e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,10,EC-GFRK-06-L010,6,1,True,64,256,0.1,7,-3.4660795873050443e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,10,EC-GFRK-08-L010,8,1,True,256,256,0.1,12,-6.586276420764373e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,11,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.26176015418818e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,11,EC-GFRK-06-L010,6,1,True,64,256,0.1,14,-1.6299798214961029e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,11,EC-GFRK-08-L010,8,1,True,256,256,0.1,12,-7.333022319299045e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,12,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-9.243823852545737e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,12,EC-GFRK-06-L010,6,1,True,64,256,0.1,14,-7.848133969292086e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,12,EC-GFRK-08-L010,8,1,True,256,256,0.1,5,-3.2052533286519266e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,13,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1094820887028354e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,13,EC-GFRK-06-L010,6,1,True,64,256,0.1,15,-1.0684435753318539e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,13,EC-GFRK-08-L010,8,1,True,256,256,0.1,13,-7.15261076756275e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,14,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.403778607998891e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,14,EC-GFRK-06-L010,6,1,True,64,256,0.1,8,-2.560335544138399e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,14,EC-GFRK-08-L010,8,1,True,256,256,0.1,7,-5.583373672937031e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,15,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1024260518408842e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,15,EC-GFRK-06-L010,6,1,True,64,256,0.1,16,-9.450504065961596e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,15,EC-GFRK-08-L010,8,1,True,256,256,0.1,7,-6.702569832395711e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,16,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2349975199010805e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,16,EC-GFRK-06-L010,6,1,True,64,256,0.1,13,-5.7162775458404346e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,16,EC-GFRK-08-L010,8,1,True,256,256,0.1,9,-1.0235169284517686e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,17,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.3514587045195125e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,17,EC-GFRK-06-L010,6,1,True,64,256,0.1,12,-1.0679482771462472e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,17,EC-GFRK-08-L010,8,1,True,256,256,0.1,19,-3.949765991402359e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,18,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4214057807884016e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,18,EC-GFRK-06-L010,6,1,True,64,256,0.1,18,-7.246247778690255e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,18,EC-GFRK-08-L010,8,1,True,256,256,0.1,18,-4.626052743280389e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,19,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.1777253236842154e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,19,EC-GFRK-06-L010,6,1,True,64,256,0.1,11,-4.598683332420263e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,19,EC-GFRK-08-L010,8,1,True,256,256,0.1,6,-1.2780195276532464e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3726689767375365e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,EC-GFRK-06-L010,6,1,True,64,256,0.1,5,-5.830982880693833e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,20,EC-GFRK-08-L010,8,1,True,256,256,0.1,6,-6.634179336814401e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.546836355261067e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,EC-GFRK-06-L010,6,1,True,64,256,0.1,11,-7.485994727797956e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,1,EC-GFRK-08-L010,8,1,True,256,256,0.1,12,-8.077729753119847e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.903804689700233e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,EC-GFRK-06-L010,6,1,True,64,256,0.1,20,-2.280452859972424e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,2,EC-GFRK-08-L010,8,1,True,256,256,0.1,10,-1.2849414118739883e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.4681917433909912e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,EC-GFRK-06-L010,6,1,True,64,256,0.1,18,-1.8429699623454184e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,3,EC-GFRK-08-L010,8,1,True,256,256,0.1,20,-1.2125954868832844e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1517527631676711e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,EC-GFRK-06-L010,6,1,True,64,256,0.1,24,-1.9028318508143654e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,4,EC-GFRK-08-L010,8,1,True,256,256,0.1,14,-7.103876043647319e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3670521952114867e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,EC-GFRK-06-L010,6,1,True,64,256,0.1,19,-6.244616987385538e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,5,EC-GFRK-08-L010,8,1,True,256,256,0.1,16,-6.7836582501935334e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4379998363573888e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,EC-GFRK-06-L010,6,1,True,64,256,0.1,21,-3.603361615330594e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,6,EC-GFRK-08-L010,8,1,True,256,256,0.1,18,-1.4816320098427929e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1368973390537683e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,EC-GFRK-06-L010,6,1,True,64,256,0.1,20,-1.4180816521828066e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,7,EC-GFRK-08-L010,8,1,True,256,256,0.1,16,-1.4936558333531387e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.4665477013820572e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,EC-GFRK-06-L010,6,1,True,64,256,0.1,17,-1.397175880673536e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,8,EC-GFRK-08-L010,8,1,True,256,256,0.1,13,-3.932786426622169e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9989828869196377e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,EC-GFRK-06-L010,6,1,True,64,256,0.1,16,-2.073999177277553e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,9,EC-GFRK-08-L010,8,1,True,256,256,0.1,12,-8.29649137224161e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.18957412085247e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,EC-GFRK-06-L010,6,1,True,64,256,0.1,22,-3.4937909831175185e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,10,EC-GFRK-08-L010,8,1,True,256,256,0.1,15,-1.4512578817810004e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3803654825553197e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,EC-GFRK-06-L010,6,1,True,64,256,0.1,18,-1.2301625397671774e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,11,EC-GFRK-08-L010,8,1,True,256,256,0.1,16,-2.8800490888643473e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.5041786303171525e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,EC-GFRK-06-L010,6,1,True,64,256,0.1,17,-2.908709754431477e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,12,EC-GFRK-08-L010,8,1,True,256,256,0.1,21,-2.6715165921823595e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-4.025370443191389e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,EC-GFRK-06-L010,6,1,True,64,256,0.1,10,-4.559061487604893e-16,cross_fitted_c06_train_outer_c06_validation,0
CV02,13,EC-GFRK-08-L010,8,1,True,256,256,0.1,11,-1.6636535654897267e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2010495867186868e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,EC-GFRK-06-L010,6,1,True,64,256,0.1,15,-2.382549107692624e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,14,EC-GFRK-08-L010,8,1,True,256,256,0.1,15,-1.9437298230093945e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2707572268051493e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,EC-GFRK-06-L010,6,1,True,64,256,0.1,13,-1.072820786438428e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,15,EC-GFRK-08-L010,8,1,True,256,256,0.1,11,-1.3541729969500968e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.074198761186506e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,EC-GFRK-06-L010,6,1,True,64,256,0.1,18,-2.4941803017649278e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,16,EC-GFRK-08-L010,8,1,True,256,256,0.1,15,-1.2552427999921705e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.702494260045622e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,EC-GFRK-06-L010,6,1,True,64,256,0.1,14,-1.3044157129539005e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,17,EC-GFRK-08-L010,8,1,True,256,256,0.1,15,-1.6984137133960348e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.960353327320233e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,EC-GFRK-06-L010,6,1,True,64,256,0.1,18,-3.3098020436822283e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,18,EC-GFRK-08-L010,8,1,True,256,256,0.1,20,-1.6654506511346766e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.9593779571767393e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,EC-GFRK-06-L010,6,1,True,64,256,0.1,23,-3.2571970884602795e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,19,EC-GFRK-08-L010,8,1,True,256,256,0.1,18,-1.7644995380487518e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,EC-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3871397901038735e-14,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,EC-GFRK-06-L010,6,1,True,64,256,0.1,15,-1.2306674924687652e-15,cross_fitted_c06_train_outer_c06_validation,0
CV02,20,EC-GFRK-08-L010,8,1,True,256,256,0.1,19,-2.110497316690565e-15,cross_fitted_c06_train_outer_c06_validation,0
