outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV01,1,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6295810961928665e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,1,CE-GFRK-06-L010,6,1,True,64,256,0.1,15,-1.0927397127460182e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,1,CE-GFRK-08-L010,8,1,True,256,256,0.1,14,-8.020813481602559e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,2,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1770740946547166e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,2,CE-GFRK-06-L010,6,1,True,64,256,0.1,14,-8.518824806260208e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,2,CE-GFRK-08-L010,8,1,True,256,256,0.1,9,-4.8725583668791455e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,3,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.0254041335940126e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,3,CE-GFRK-06-L010,6,1,True,64,256,0.1,14,-7.819444514281959e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,3,CE-GFRK-08-L010,8,1,True,256,256,0.1,10,-6.492988810795235e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,4,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.3406125983501703e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,4,CE-GFRK-06-L010,6,1,True,64,256,0.1,12,-1.0652056575167519e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,4,CE-GFRK-08-L010,8,1,True,256,256,0.1,12,-8.168307738210761e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,5,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1794308805092605e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,5,CE-GFRK-06-L010,6,1,True,64,256,0.1,11,-1.018869364849234e-15,cross_fitted_c06_train_outer_c06_validation,0
CV01,5,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-6.628859185379227e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,6,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6815855618607414e-14,cross_fitted_c06_train_outer_c06_validation,0
CV01,6,CE-GFRK-06-L010,6,1,True,64,256,0.1,7,-5.09250748336732e-16,cross_fitted_c06_train_outer_c06_validation,0
CV01,6,CE-GFRK-08-L010,8,1,True,256,256,0.1,13,-1.5890170278657805e-15,cross_fitted_c06_train_outer_c06_validation,0
