outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,1,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448871046864,0.7049746566750622,0.8794869836921164,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448871046864,0.7049746566750622,0.8794869836921164,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448871046864,0.7049746566750622,0.8794869836921164,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6212484900019308,0.7723120545029662,0.9207829480097691,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6212484900019308,0.7723120545029662,0.9207829480097691,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6212484900019308,0.7723120545029662,0.9207829480097691,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.981772161049821,0.8600193482537379,1.064171159884779,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.981772161049821,0.8600193482537379,1.064171159884779,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.981772161049821,0.8600193482537379,1.064171159884779,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448873052496,0.7041820525901179,0.8804058238464901,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448873052496,0.7041820525901179,0.8804058238464901,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448873052496,0.7041820525901179,0.8804058238464901,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6254883030609444,0.7728392107255644,0.9232145484523584,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6254883030609444,0.7728392107255644,0.9232145484523584,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6254883030609444,0.7728392107255644,0.9232145484523584,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.95103499244996,0.8590435984875588,1.060642577627649,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.95103499244996,0.8590435984875588,1.060642577627649,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.95103499244996,0.8590435984875588,1.060642577627649,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448877810843,0.7052575387497905,0.8830332794209445,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448877810843,0.7052575387497905,0.8830332794209445,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448877810843,0.7052575387497905,0.8830332794209445,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6205022216749898,0.7735456291187158,0.9219242545923944,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6205022216749898,0.7735456291187158,0.9219242545923944,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6205022216749898,0.7735456291187158,0.9219242545923944,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9903142433116188,0.8615732927800912,1.062878650509542,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9903142433116188,0.8615732927800912,1.062878650509542,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9903142433116188,0.8615732927800912,1.062878650509542,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448870726987,0.7052816426977453,0.8825507960404316,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448870726987,0.7052816426977453,0.8825507960404316,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448870726987,0.7052816426977453,0.8825507960404316,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.621113072651355,0.77307088099064,0.9208979533331632,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.621113072651355,0.77307088099064,0.9208979533331632,1024,1024,0,same_cross_fitted_c06_residual
