outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,conditioning_feature,gate_source,validation_outcomes_used
CV01,1,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,1,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,1,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,2,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,2,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,2,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,3,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,3,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,3,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,4,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,4,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,4,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,5,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,5,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,5,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,6,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,6,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,6,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,7,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,7,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,7,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,8,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,8,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,8,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,9,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,9,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,9,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,10,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,10,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,10,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,11,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,11,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,11,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,12,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,12,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,12,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,13,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,13,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,13,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,14,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,14,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,14,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,15,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,15,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,15,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,16,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,16,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,16,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,17,AGEFRK-04-ADAPT,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,17,AGEFRK-06-ADAPT,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
CV01,17,AGEFRK-08-ADAPT,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,outer_fold_c06_feasibility_probability,0
