outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_interaction_norm,control_interaction_norm,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,1,4,NIFRK-04-NL,TWO-RBF-04-NL,1.3254448873098128,0.7053906947837159,0.8829979188872867,0.7779050378728791,1.903058543157844,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,6,NIFRK-06-NL,TWO-RBF-06-NL,1.6208254208665736,0.772235417869218,0.9202793552084416,1.9993851715860782,0.3680535947339896,1024,1024,0,same_cross_fitted_c06_residual
CV01,1,8,NIFRK-08-NL,TWO-RBF-08-NL,1.9607844684250935,0.8592367528591285,1.0624659584756027,3.088435699019992,0.5120592685578113,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,4,NIFRK-04-NL,TWO-RBF-04-NL,1.3254448868764306,0.7041494342536959,0.8818110900679863,0.775509291654758,1.8902170851482794,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,6,NIFRK-06-NL,TWO-RBF-06-NL,1.6253159773329295,0.7729983074854269,0.9226746905968931,2.070462304010462,0.3699428578069943,1024,1024,0,same_cross_fitted_c06_residual
CV01,2,8,NIFRK-08-NL,TWO-RBF-08-NL,1.9590692138148962,0.8631388891070841,1.0674764136573835,3.1706481690834343,0.4236810444351166,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,4,NIFRK-04-NL,TWO-RBF-04-NL,1.3254448867788686,0.704492615492995,0.880689340131997,0.7772337864231669,1.8758014666176253,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,6,NIFRK-06-NL,TWO-RBF-06-NL,1.6164099841780857,0.7728944080400177,0.9211809436410926,1.8345143697141801,0.3887906120796995,1024,1024,0,same_cross_fitted_c06_residual
CV01,3,8,NIFRK-08-NL,TWO-RBF-08-NL,1.9752574289541414,0.8599664248772217,1.0645181221492424,3.1149318629539344,0.49583730307407275,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,4,NIFRK-04-NL,TWO-RBF-04-NL,1.3254448877119098,0.7054548072091921,0.8825948379283686,0.7780045674187913,1.9012510904210802,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,6,NIFRK-06-NL,TWO-RBF-06-NL,1.6188901676472653,0.7728191900558649,0.9225584003508979,1.88679301870107,0.4092826420924286,1024,1024,0,same_cross_fitted_c06_residual
CV01,4,8,NIFRK-08-NL,TWO-RBF-08-NL,1.9543338772450463,0.8599177797128673,1.0632062241830145,3.1331701289675666,0.48958838396306326,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,4,NIFRK-04-NL,TWO-RBF-04-NL,1.325444887481325,0.7044998313071792,0.8784855868091656,0.7768382940261805,1.8957482684242353,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,6,NIFRK-06-NL,TWO-RBF-06-NL,1.6175014348836079,0.7733102205805417,0.9205010348360834,1.9293690531186705,0.38616575182290697,1024,1024,0,same_cross_fitted_c06_residual
CV01,5,8,NIFRK-08-NL,TWO-RBF-08-NL,1.9656788064630053,0.8601552651318451,1.0653444915993386,3.126918289495883,0.48880346703548894,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,4,NIFRK-04-NL,TWO-RBF-04-NL,1.3254448879890768,0.7054783183899666,0.8826518633152459,0.7777424093256522,1.888842336329029,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,6,NIFRK-06-NL,TWO-RBF-06-NL,1.6223420246195397,0.773665727251806,0.9218829912367977,1.784047956443943,0.3291964520488266,1024,1024,0,same_cross_fitted_c06_residual
CV01,6,8,NIFRK-08-NL,TWO-RBF-08-NL,1.9406298267890747,0.8632898525288212,1.0650216556632377,3.1114245211011986,0.47115076651077387,1024,1024,0,same_cross_fitted_c06_residual
CV01,7,4,NIFRK-04-NL,TWO-RBF-04-NL,1.3254448875212888,0.7052470108081984,0.879699932753688,0.7796379186871211,1.9050521973486987,1024,1024,0,same_cross_fitted_c06_residual
