outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,feature_columns,interaction_ridge,candidate_coefficients,control_coefficients,feature_map
CV01,1,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,4,aggregate,1024,1024,,,,,0,6,0.001,-0.002652507470620778;0.2154561765265653;-0.5268821426826633;-0.05984250847111595;-0.2136197449784661;-0.7456015870981131,-0.001905695393587227;-1.008181220557877;0.610169041604863;-1.0933403500157;-0.9727050692904158;-1.216586842724485,"[1,u,v,u*v,u^2,v^2]"
CV01,1,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004946536990666234;0.5588445468906611;-0.7490246199269445;-0.340577096913469;-0.01711196984574904;-1.970090222782775,-0.004083750924584165;-1.910200137778406;1.539130981265403;-0.1807037612406946;-0.3059909005532895;-0.0958079748698657,"[1,u,v,u*v,u^2,v^2]"
CV01,1,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,1,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006570303876052086;0.3328739581176384;-0.5976037483922035;-0.6586441733041178;-0.2781881548851156;-3.004535616436466,-0.006190070453432248;-1.831247004852945;1.616687943319157;-0.2742068418230099;-0.3565845312408295;-0.2446687035425032,"[1,u,v,u*v,u^2,v^2]"
CV01,2,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
