outer_fold,seed_index,q,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,channel_fit_rows,validation_outcomes_used,channel_source
CV01,1,4,1.3254448872131044,0.7043760913028301,0.8811232641356594,1024,0,same_cross_fitted_c06_residual
CV01,1,6,1.6236649550563462,0.7722869522874055,0.9211690622425265,1024,0,same_cross_fitted_c06_residual
CV01,1,8,1.9523847734988287,0.8630313509713811,1.0644725040255576,1024,0,same_cross_fitted_c06_residual
CV01,2,4,1.3254448878038572,0.705429922084123,0.8828154068061297,1024,0,same_cross_fitted_c06_residual
CV01,2,6,1.6235518520577006,0.7723580413958439,0.9219267107632787,1024,0,same_cross_fitted_c06_residual
CV01,2,8,1.9611227774188862,0.8599482977680899,1.064265622152742,1024,0,same_cross_fitted_c06_residual
CV01,3,4,1.3254448871396909,0.7057979097825351,0.8808938304802273,1024,0,same_cross_fitted_c06_residual
CV01,3,6,1.6215020433088654,0.7715820902354009,0.9166662094228963,1024,0,same_cross_fitted_c06_residual
CV01,3,8,1.951462123878095,0.8598442771120165,1.0620763837992189,1024,0,same_cross_fitted_c06_residual
CV01,4,4,1.3254448869114421,0.7059686422430903,0.8830461709490596,1024,0,same_cross_fitted_c06_residual
CV01,4,6,1.6165690649649374,0.7719488964728756,0.9190416207298441,1024,0,same_cross_fitted_c06_residual
CV01,4,8,2.0013790249648533,0.8598838679978628,1.063515237672453,1024,0,same_cross_fitted_c06_residual
CV01,5,4,1.3254448875679825,0.7044114964384358,0.88041547765501,1024,0,same_cross_fitted_c06_residual
CV01,5,6,1.6219113169669594,0.7730754628030493,0.9230208731417386,1024,0,same_cross_fitted_c06_residual
CV01,5,8,1.9577511427788965,0.8602414840608772,1.0661564237274688,1024,0,same_cross_fitted_c06_residual
CV01,6,4,1.3254448877957103,0.7042828888724018,0.8804990570409108,1024,0,same_cross_fitted_c06_residual
CV01,6,6,1.62218053651167,0.772795009918183,0.9235740893930703,1024,0,same_cross_fitted_c06_residual
CV01,6,8,1.9415732789984415,0.8601073835288211,1.0611472519129268,1024,0,same_cross_fitted_c06_residual
CV01,7,4,1.3254448867963258,0.7045936674123575,0.8806448359643191,1024,0,same_cross_fitted_c06_residual
CV01,7,6,1.6206644300676765,0.7724440170155095,0.9220455654944836,1024,0,same_cross_fitted_c06_residual
CV01,7,8,1.978874457429671,0.8618765185251235,1.063599731723521,1024,0,same_cross_fitted_c06_residual
CV01,8,4,1.3254448871711688,0.7060221264712214,0.8835183522761364,1024,0,same_cross_fitted_c06_residual
CV01,8,6,1.617307323916899,0.7724446548922232,0.9216500614293011,1024,0,same_cross_fitted_c06_residual
CV01,8,8,1.972537686407192,0.860017908227568,1.0627104416573454,1024,0,same_cross_fitted_c06_residual
CV01,9,4,1.3254448879928276,0.7046834260571521,0.8788621739499554,1024,0,same_cross_fitted_c06_residual
CV01,9,6,1.618148659313547,0.7732799738173421,0.9220901484153173,1024,0,same_cross_fitted_c06_residual
CV01,9,8,1.969051686517784,0.8606952075978022,1.0646284963212755,1024,0,same_cross_fitted_c06_residual
CV01,10,4,1.3254448874528424,0.7043250864623595,0.8809895728186218,1024,0,same_cross_fitted_c06_residual
CV01,10,6,1.6197824611688374,0.7721679058852476,0.9176009026696516,1024,0,same_cross_fitted_c06_residual
CV01,10,8,1.969531645541496,0.8598286088336368,1.0618269779209648,1024,0,same_cross_fitted_c06_residual
CV01,11,4,1.3254448877796967,0.7041417475595002,0.880594746263987,1024,0,same_cross_fitted_c06_residual
CV01,11,6,1.6186110224808012,0.7723201686404556,0.9212204344631983,1024,0,same_cross_fitted_c06_residual
CV01,11,8,1.958844270598149,0.8604700354787301,1.0636531186134106,1024,0,same_cross_fitted_c06_residual
CV01,12,4,1.3254448874645024,0.7049329221753752,0.8808228786004748,1024,0,same_cross_fitted_c06_residual
CV01,12,6,1.6159269593711212,0.7726833520648952,0.9200453133656881,1024,0,same_cross_fitted_c06_residual
CV01,12,8,1.9840284068975744,0.8595060681798836,1.062828521473515,1024,0,same_cross_fitted_c06_residual
CV01,13,4,1.3254448876884775,0.704477157186868,0.880211391907914,1024,0,same_cross_fitted_c06_residual
CV01,13,6,1.6178772916433388,0.7725121993998088,0.9216436911071538,1024,0,same_cross_fitted_c06_residual
CV01,13,8,1.9510086168115297,0.8598534476974913,1.065690341246854,1024,0,same_cross_fitted_c06_residual
CV01,14,4,1.3254448870932036,0.7040672587465554,0.8818032152273239,1024,0,same_cross_fitted_c06_residual
CV01,14,6,1.6185199994469952,0.7725093849778045,0.9210044793007073,1024,0,same_cross_fitted_c06_residual
CV01,14,8,1.9538699202952192,0.8598575052799358,1.0625583301405388,1024,0,same_cross_fitted_c06_residual
CV01,15,4,1.3254448865082276,0.7039683973385247,0.8803413427154289,1024,0,same_cross_fitted_c06_residual
CV01,15,6,1.627980708321613,0.7723298827860489,0.9224006663759202,1024,0,same_cross_fitted_c06_residual
CV01,15,8,1.9511126623753665,0.8597199381801212,1.063375075229372,1024,0,same_cross_fitted_c06_residual
CV01,16,4,1.325444887091421,0.7043399938769843,0.8789620015130395,1024,0,same_cross_fitted_c06_residual
CV01,16,6,1.6137634400337868,0.7721201110601165,0.9195491926440238,1024,0,same_cross_fitted_c06_residual
CV01,16,8,1.9809530065079344,0.8610278308910766,1.0624871199852512,1024,0,same_cross_fitted_c06_residual
CV01,17,4,1.3254448879495688,0.7052500052962493,0.881704153995361,1024,0,same_cross_fitted_c06_residual
CV01,17,6,1.6201731643843953,0.7745535544394841,0.9226738906511186,1024,0,same_cross_fitted_c06_residual
CV01,17,8,1.9588896107555842,0.8599380036455274,1.0631516381594739,1024,0,same_cross_fitted_c06_residual
