outer_fold,seed_index,q,common_target_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV01,1,4,1.2711705483537248,1.1718946037259383,0.5409018377782229,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,1,6,1.2711705483537248,1.3512766005240264,0.3360838801362722,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,1,8,1.2711705483537248,1.7483583738532718,0.21201814203215735,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,2,4,1.270536892524933,1.1723895595642861,0.5418331693950978,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,2,6,1.270536892524933,1.3566853831398493,0.3354650523609444,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,2,8,1.270536892524933,1.743553402242827,0.20523709206338706,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,3,4,1.2724104651479429,1.1723540213582884,0.5437553786033772,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,3,6,1.2724104651479429,1.3453078218111931,0.339481590094728,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,3,8,1.2724104651479429,1.7542881366481147,0.20385229150199516,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,4,4,1.2707992291019679,1.1714582365171775,0.5407313403261387,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,4,6,1.2707992291019679,1.3539875788113154,0.3396506642790776,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,4,8,1.2707992291019679,1.7659186458156757,0.20345161739219747,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,5,4,1.2707069528775847,1.1706324482777353,0.5411720587923267,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,5,6,1.2707069528775847,1.349249705184129,0.33620871769764843,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,5,8,1.2707069528775847,1.7282165168226635,0.2027769605219668,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,6,4,1.2731803942496667,1.1705921365529386,0.539390030585347,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,6,6,1.2731803942496667,1.3522365854272504,0.34087153628818817,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,6,8,1.2731803942496667,1.7610118182438321,0.20081123994363367,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,7,4,1.2717841683824953,1.1723191718738006,0.5411917616442026,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,7,6,1.2717841683824953,1.3468590437278523,0.3346597965549392,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,7,8,1.2717841683824953,1.7613776914465469,0.19981837197476,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV01,8,4,1.2720956869909708,1.1714163155514614,0.541692139331381,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
