outer_fold,seed_index,fit_rows,candidate_feature_columns,control_feature_columns,stack_ridge,candidate_coefficients,control_coefficients,feature_order,common_target_l2,validation_outcomes_used
CV01,1,1024,4,4,0.001,0.002867874966535552;-1.078717894261521;0.6881920720546467;-0.2394510608086401,-0.002924854741281146;-0.5867973646188167;-0.3187755851576783;-0.1420441508246773,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2711705483537248,0
CV01,2,1024,4,4,0.001,0.002907693827642799;-1.064032459231422;0.575520185650382;-0.1674061050133779,-0.002851952153438069;-0.5872580249153798;-0.3213505867240622;-0.1381160345155662,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.270536892524933,0
CV01,3,1024,4,4,0.001,0.002905845317302333;-1.077960279512758;0.6199526424633512;-0.1919857439240014,-0.002886980077132422;-0.5873550387345889;-0.3214653564442014;-0.1390794132792119,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2724104651479429,0
CV01,4,1024,4,4,0.001,0.002434274460134865;-1.005962146162956;0.4327086982637463;-0.1404168977118038,-0.002776760447770297;-0.5911251249205258;-0.3377130380526901;-0.1189929813416329,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2707992291019679,0
CV01,5,1024,4,4,0.001,0.002654912951295182;-0.9904369464753188;0.5244666097824688;-0.2561604803904576,-0.002866503693650049;-0.5910834188309944;-0.316768257611665;-0.1375717119358214,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2707069528775847,0
CV01,6,1024,4,4,0.001,0.002444732158549559;-1.051644504507809;0.447134370015161;-0.07291713267494433,-0.002836734744546381;-0.5890775747322495;-0.3383076636021884;-0.1229762136862849,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2731803942496667,0
CV01,7,1024,4,4,0.001,0.002633008961788908;-1.033101292129099;0.5630043543549441;-0.215385601548504,-0.002815059222889269;-0.5913087638519821;-0.3376389058450246;-0.119449119489554,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2717841683824953,0
CV01,8,1024,4,4,0.001,0.002524869428256267;-1.025801602454339;0.4674187227603711;-0.1395388355137209,-0.002910415990203942;-0.5880738516399179;-0.328350740535245;-0.1336127203220984,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2720956869909708,0
CV01,9,1024,4,4,0.001,0.002678273652361215;-1.019876480155675;0.5177408619651694;-0.18949044326913,-0.002837051000154327;-0.591739164851286;-0.3234886181585344;-0.1321077954873884,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.2711554839533374,0
CV01,10,1024,4,4,0.001,0.002589761650699259;-1.02069110213578;0.4880225980089137;-0.1728827585492771,-0.002845330486955586;-0.5866440008994652;-0.3266255858732753;-0.1368007222598335,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.271419346107475,0
