model_id,config_id,outer_fold,seed_index,validation_rows,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,brier,auroc,recall,precision,ece
C06,C06,CV01,1,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
NSORFRK-08,NSORFRK-08,CV01,1,6500,0.014425718055358281,0.012727383645813752,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
NSO-TWO-RBF-08,NSO-TWO-RBF-08,CV01,1,6500,0.014886377438333966,0.011862015661498547,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,2,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
NSORFRK-08,NSORFRK-08,CV01,2,6500,0.014432264815824406,0.012770514023794277,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
NSO-TWO-RBF-08,NSO-TWO-RBF-08,CV01,2,6500,0.01488587054807745,0.011859462862525616,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,3,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
NSORFRK-08,NSORFRK-08,CV01,3,6500,0.014425857410366928,0.01275301223116043,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
NSO-TWO-RBF-08,NSO-TWO-RBF-08,CV01,3,6500,0.014885544017701025,0.011861957309764953,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
C06,C06,CV01,4,6500,0.015176380962966552,0.011451556126719881,9.29397319264077,0.010769230769230769,0.04932996061596233,0.9845976892135344,0.9111718483088487,0.9844961240310077,0.09126005604771692
