outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV01,1,0.05;0.10;0.15,0.0006765271693423871;0.0007174570372981129;0.0007635907863451079,0.0006997131757396887;0.0007716475444181949;0.0008566042885134491,0.05,0.05,outer_training_inner_oof_only,0
CV01,2,0.05;0.10;0.15,0.0006759236931891682;0.0007160801492350352;0.0007612705506155316,0.0006991883999906151;0.0007705243366303431;0.0008548089923971149,0.05,0.05,outer_training_inner_oof_only,0
CV01,3,0.05;0.10;0.15,0.0006763908512328069;0.0007170931315344215;0.0007629080233827744,0.00069943604091515;0.000771060321596066;0.000855674024520679,0.05,0.05,outer_training_inner_oof_only,0
CV01,4,0.05;0.10;0.15,0.0006770144530354129;0.0007184227949746415;0.0007650262082956164,0.0006989908357217986;0.0007701206185634604;0.000854190531002916,0.05,0.05,outer_training_inner_oof_only,0
CV01,5,0.05;0.10;0.15,0.0006780857774175836;0.000720645318996567;0.000768479807214881,0.0006996023122555451;0.0007714032263466317;0.0008562039247511906,0.05,0.05,outer_training_inner_oof_only,0
CV01,6,0.05;0.10;0.15,0.0006751504940524049;0.0007145514616089758;0.0007590040851476436,0.0006992950245048961;0.0007707690469127453;0.000855223249701478,0.05,0.05,outer_training_inner_oof_only,0
CV01,7,0.05;0.10;0.15,0.0006766064203336939;0.0007175624580390981;0.0007636692955941434,0.0006990810519357382;0.0007703123987098857;0.0008544952228003733,0.05,0.05,outer_training_inner_oof_only,0
CV01,8,0.05;0.10;0.15,0.0006762481933776441;0.0007167651958213588;0.0007623521898090746,0.000699698783429112;0.0007716302107222699;0.0008565954643574045,0.05,0.05,outer_training_inner_oof_only,0
CV01,9,0.05;0.10;0.15,0.0006767148566416837;0.000717719960443006;0.0007638164938818975,0.0006992159804081249;0.0007705948757763357;0.0008549378685825627,0.05,0.05,outer_training_inner_oof_only,0
CV01,10,0.05;0.10;0.15,0.0006773643794861508;0.0007190407231450303;0.0007658302134545692,0.0006995624281225559;0.0007713051180988409;0.0008560292524067859,0.05,0.05,outer_training_inner_oof_only,0
CV01,11,0.05;0.10;0.15,0.0006752606201693436;0.0007148702221730022;0.0007596299884889066,0.0006991117142320586;0.0007703894821207548;0.0008546344861440195,0.05,0.05,outer_training_inner_oof_only,0
CV01,12,0.05;0.10;0.15,0.0006765086024675315;0.0007173117818340988;0.0007632107205776322,0.0006994393030232697;0.0007710924413268933;0.0008557605973888017,0.05,0.05,outer_training_inner_oof_only,0
CV01,13,0.05;0.10;0.15,0.000677244454978448;0.0007189758761947914;0.0007659954461269611,0.0006994293618248203;0.0007710393082980224;0.0008556310218975369,0.05,0.05,outer_training_inner_oof_only,0
CV01,14,0.05;0.10;0.15,0.0006750799580051368;0.0007144892879580986;0.0007590291723368159,0.0006993355807774361;0.0007708388033610084;0.0008553108502286479,0.05,0.05,outer_training_inner_oof_only,0
