outer_fold,seed_index,q,shared_gain,common_target_l2,first_stage_rbf25_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,candidate_gain,control_gain,validation_outcomes_used,stage_order,channel_source
CV01,1,8,0.1,1.2711705483537248,0.8614976264659806,1.746063923625785,0.20659630075267646,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,2,8,0.1,1.270536892524933,0.8599304156822452,1.7569579266205422,0.20531357683060691,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,3,8,0.1,1.2724104651479429,0.8606511105358006,1.7708849063518763,0.20710688567682212,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,4,8,0.1,1.2707992291019679,0.8599642781719131,1.7719459761619345,0.20506056635965775,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,5,8,0.1,1.2707069528775847,0.8596241306894368,1.7408530436694376,0.20296119115206765,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,6,8,0.1,1.2731803942496667,0.8595332670086661,1.7504247164960927,0.19491095839906267,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,7,8,0.1,1.2717841683824953,0.8603245920029545,1.7343001781974445,0.20507166263219506,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,8,8,0.1,1.2720956869909708,0.8620516434884036,1.744698065570151,0.20770251401908865,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,9,8,0.1,1.2711554839533374,0.8611003769820996,1.7523065675914193,0.20016847091699638,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,10,8,0.1,1.271419346107475,0.8612471555541409,1.7864114815971894,0.21089062236082204,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,11,8,0.1,1.2719623839444076,0.8601954175991012,1.7405389383250214,0.20463953170522864,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,12,8,0.1,1.2716720699890827,0.8617145042853562,1.7354632418948015,0.20395573747041176,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,13,8,0.1,1.2724155597639901,0.8594387771897929,1.7383743748916354,0.20216832325595063,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,14,8,0.1,1.271669628918096,0.8598811056099197,1.762522665445534,0.20552628210005525,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,15,8,0.1,1.271414014498456,0.8596197959632346,1.7473104993687725,0.20454991544010492,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,16,8,0.1,1.2718390686468226,0.8602841828588319,1.7450879087997175,0.20098390574822314,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,17,8,0.1,1.2720946366593855,0.8618972244259779,1.7390280222469503,0.20531247014059686,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,18,8,0.1,1.2720493268206987,0.8616406058406814,1.753869415278677,0.21037229274595995,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,19,8,0.1,1.2716981777114276,0.8595497837166938,1.7687247608879189,0.21182401854016517,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV01,20,8,0.1,1.26920167510894,0.8600930516591163,1.7391317978997949,0.20572429696725866,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,1,8,0.1,0.5956535477625088,0.7721742396640009,0.8806435685744052,0.6155149943944737,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,2,8,0.1,0.5956321671811997,0.7724668945033651,0.8742797103414738,0.6158239417904018,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,3,8,0.1,0.5954842618899718,0.7724454309559141,0.8874908791449403,0.6151593060414302,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,4,8,0.1,0.5956112409554141,0.7725808844596685,0.8783130829333372,0.6174994620482774,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,5,8,0.1,0.595836046824757,0.7719667097456212,0.8847976388106759,0.615549758112962,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,6,8,0.1,0.5955817465569767,0.7726855833234786,0.8937207391809059,0.6171843170785193,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,7,8,0.1,0.5956500145375423,0.77243274173828,0.8975495951298823,0.6121071327925324,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,8,8,0.1,0.5958826573192582,0.7724774845166119,0.8849578924809078,0.6167920721843478,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,9,8,0.1,0.5957717486237579,0.772674604258663,0.8800875565535142,0.6171857067015942,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,10,8,0.1,0.5956519413790858,0.7729014977854674,0.8973705311470155,0.6148649939235853,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,11,8,0.1,0.5958721553849483,0.7723876077478344,0.8764649880152198,0.6158221794269225,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,12,8,0.1,0.595779312727236,0.7724135890851853,0.8621908412647459,0.6098741662873477,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,13,8,0.1,0.595715173718829,0.7723488226070127,0.8827919544436633,0.6097581202040208,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,14,8,0.1,0.5957258749044931,0.7724807207106483,0.8940473411571447,0.6167372700833694,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,15,8,0.1,0.5955732257597659,0.7726475410001453,0.8679253409181826,0.6170857520785598,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,16,8,0.1,0.595708415290446,0.7725202818421242,0.903811969689655,0.6163462192332597,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,17,8,0.1,0.5957328521153219,0.7724450995520143,0.8936038991973694,0.6151380450546668,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,18,8,0.1,0.5957714619372739,0.772316025606447,0.9139109641243064,0.6182863819516902,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,19,8,0.1,0.5958445447440758,0.7724342926018726,0.8664494554465043,0.613872693158313,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV02,20,8,0.1,0.5955129919586996,0.7722998358968485,0.8792338757797429,0.6170529432462468,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,1,8,0.1,1.0917908420478246,1.7017335872596682,1.6762965481725347,1.009352644802022,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,2,8,0.1,1.0919176898515948,1.7071984609902886,1.6998850409772148,1.0134513566732388,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,3,8,0.1,1.0919544349591308,1.703051611318331,1.6423813292539817,1.0005683324450076,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,4,8,0.1,1.091835456336082,1.7091691576225883,1.6042736732618035,1.0140659227694235,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,5,8,0.1,1.0919828207157998,1.7084932383879792,1.6546751535247917,1.0051835358664587,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,6,8,0.1,1.0917913429013832,1.7042630694950418,1.654957485857991,1.003755092932207,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,7,8,0.1,1.0915517558059642,1.7073877217297218,1.6584067082356724,1.0135489618055384,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,8,8,0.1,1.092206954168136,1.7044110936850019,1.662777810420307,1.0239393954046094,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,9,8,0.1,1.0921649494218104,1.7057849815865198,1.650703429003387,1.0123681578140595,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,10,8,0.1,1.0918786678256804,1.7034240027281071,1.6571964087709654,1.0012609339329699,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,11,8,0.1,1.0915975752103146,1.7027897340539297,1.6332498888743636,1.0044863198608676,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,12,8,0.1,1.0913929397691817,1.7049427516060176,1.6315641075106777,1.0196985796801374,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,13,8,0.1,1.091727437711227,1.7071421835071858,1.62506937527516,1.0151278447528675,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,14,8,0.1,1.0914827448036084,1.7050257171677603,1.682835567532881,0.9976367659517785,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,15,8,0.1,1.0916110922564268,1.706802550951311,1.6163951826801155,1.0051568437077456,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
CV03,16,8,0.1,1.0910879334139651,1.701714374563468,1.6384028232490335,1.0032840521442756,0.05,0.05,0,fixed_shared_gain_then_nested_second_stage_gain,inner_oof_selection_then_outer_refit
