outer_fold,seed_index,shared_gain,grid,candidate_losses,control_losses,candidate_gain,control_gain,selection_source,validation_outcomes_used
CV01,1,0.1,0.05;0.10;0.15;0.20,0.0007007397674298681;0.000717457037298113;0.0007361316241692353;0.0007567635280432351,0.0007265852684340429;0.0007716475444181949;0.0008211666425169564;0.0008751425627303277,0.05,0.05,outer_training_inner_oof_only,0
CV01,2,0.1,0.05;0.10;0.15;0.20,0.0006999903453604317;0.0007160801492350352;0.0007340910363872981;0.0007540230068172203,0.000725962616703386;0.000770524336630343;0.0008195067845443587;0.0008729099604454332,0.05,0.05,outer_training_inner_oof_only,0
CV01,3,0.1,0.05;0.10;0.15;0.20,0.0007006263448154417;0.0007170931315344214;0.0007355303855899118;0.0007559381069819124,0.0007263759159964483;0.000771060321596066;0.0008201832422318255;0.0008737446779037266,0.05,0.05,outer_training_inner_oof_only,0
CV01,4,0.1,0.05;0.10;0.15;0.20,0.0007011767643363366;0.0007184227949746415;0.0007376554980928695;0.0007588748736910207,0.0007258074174502937;0.0007701206185634604;0.0008188570095174547;0.0008720165903122768,0.05,0.05,outer_training_inner_oof_only,0
CV01,5,0.1,0.05;0.10;0.15;0.20,0.0007023284361677927;0.000720645318996567;0.0007408969364956185;0.0007630832886649475,0.0007264492588147796;0.0007714032263466317;0.0008208081906048521;0.000874664151589441,0.05,0.05,outer_training_inner_oof_only,0
CV01,6,0.1,0.05;0.10;0.15;0.20,0.0006994088769735474;0.0007145514616089758;0.0007316083117512374;0.0007505794274003319,0.0007262605280730821;0.0007707690469127453;0.0008197061143639417;0.0008730717304266715,0.05,0.05,outer_training_inner_oof_only,0
CV01,7,0.1,0.05;0.10;0.15;0.20,0.0007008665236555303;0.0007175624580390981;0.0007361425228498298;0.0007566067180877254,0.0007259717840671961;0.0007703123987098857;0.0008190765636271953;0.0008722642788191249,0.05,0.05,outer_training_inner_oof_only,0
CV01,8,0.1,0.05;0.10;0.15;0.20,0.0007004841914535925;0.0007167651958213588;0.0007349358630633818;0.0007549961931796614,0.0007266293118037513;0.0007716302107222699;0.0008210955467156385;0.0008750253197838567,0.05,0.05,outer_training_inner_oof_only,0
CV01,9,0.1,0.05;0.10;0.15;0.20,0.0007009234778910993;0.000717719960443006;0.000736402292660893;0.0007569704745447601,0.0007260904251324262;0.0007705948757763357;0.0008195261969369012;0.0008728843886141231,0.05,0.05,outer_training_inner_oof_only,0
CV01,10,0.1,0.05;0.10;0.15;0.20,0.0007015578724398978;0.0007190407231450303;0.0007384674994640746;0.0007598382013970311,0.0007264444136096342;0.0007713051180988409;0.0008206010608162973;0.0008743322417620034,0.05,0.05,outer_training_inner_oof_only,0
CV01,11,0.1,0.05;0.10;0.15;0.20,0.0006995168347887777;0.0007148702221730022;0.0007321188584963883;0.0007512627437589362,0.0007260090561513907;0.0007703894821207548;0.0008191999742518072;0.0008724405325445481,0.05,0.05,outer_training_inner_oof_only,0
CV01,12,0.1,0.05;0.10;0.15;0.20,0.0007007470347336841;0.0007173117818340989;0.0007357513687354482;0.000756065795437732,0.0007263525218478956;0.0007710924413268933;0.0008202768858711971;0.000873905855480807,0.05,0.05,outer_training_inner_oof_only,0
