projection_id,track_ids,qubits,data_reupload_layers,feature_scale,entangle,gamma_multiplier,regularization_alpha,nystrom_landmarks,execution_status
PX-01,Q01b;FQK,4,2,0.5,false,0.25,1.0,256,frozen_not_run
PX-02,Q01b;FQK,6,1,0.5,false,0.25,0.0001,256,frozen_not_run
PX-03,Q01b;FQK,8,1,1.0,false,0.25,1.0,256,frozen_not_run
PX-04,Q01b;FQK,4,2,2.0,true,0.25,0.0001,256,frozen_not_run
PX-05,Q01b;FQK,8,1,0.5,true,1.0,0.0001,256,frozen_not_run
PX-06,Q01b;FQK,6,1,1.0,false,1.0,1.0,256,frozen_not_run
PX-07,Q01b;FQK,8,1,0.5,true,4.0,1.0,256,frozen_not_run
PX-08,Q01b;FQK,4,1,1.0,false,4.0,0.0001,256,frozen_not_run
PX-09,Q01b;FQK,6,2,2.0,true,1.0,0.01,256,frozen_not_run
PX-10,Q01b;FQK,4,1,0.5,true,4.0,0.01,256,frozen_not_run
PX-11,Q01b;FQK,6,2,1.0,true,1.0,0.0001,256,frozen_not_run
PX-12,Q01b;FQK,8,2,0.5,true,1.0,0.0001,256,frozen_not_run
PX-13,Q01b;FQK,8,1,1.0,true,0.25,1.0,256,frozen_not_run
PX-14,Q01b;FQK,6,2,1.0,true,0.25,0.01,256,frozen_not_run
PX-15,Q01b;FQK,6,2,0.5,true,0.25,0.01,256,frozen_not_run
PX-16,Q01b;FQK,8,2,2.0,false,4.0,0.01,256,frozen_not_run
PX-17,Q01b;FQK,8,2,0.5,false,1.0,0.01,256,frozen_not_run
PX-18,Q01b;FQK,6,1,2.0,true,0.25,1.0,256,frozen_not_run
PX-19,Q01b;FQK,6,1,0.5,false,4.0,0.01,256,frozen_not_run
PX-20,Q01b;FQK,8,1,1.0,true,4.0,0.0001,256,frozen_not_run
PX-21,Q01b;FQK,6,2,2.0,false,1.0,1.0,256,frozen_not_run
PX-22,Q01b;FQK,8,2,2.0,true,4.0,1.0,256,frozen_not_run
PX-23,Q01b;FQK,8,2,2.0,false,0.25,0.01,256,frozen_not_run
PX-24,Q01b;FQK,4,1,1.0,false,1.0,0.01,256,frozen_not_run
PX-25,Q01b;FQK,4,2,2.0,false,4.0,0.0001,256,frozen_not_run
PX-26,Q01b;FQK,6,1,2.0,false,4.0,0.0001,256,frozen_not_run
PX-27,Q01b;FQK,4,1,2.0,false,1.0,1.0,256,frozen_not_run
PX-28,Q01b;FQK,4,2,1.0,true,4.0,0.01,256,frozen_not_run
PX-29,Q01b;FQK,4,2,1.0,false,0.25,0.0001,256,frozen_not_run
PX-30,Q01b;FQK,4,1,0.5,true,1.0,1.0,256,frozen_not_run
