category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,1,complete,Q01b,39000,58.954338300041854,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.5336254308598175,19.165658830338845,control,0.6306908708409927,1.4770130628191347,1,complete,Q01b,39000,58.954338300041854,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.3547554851646132,19.34704171203282,control,0.4363572826187804,1.021903814185206,1,complete,Q01b,39000,58.954338300041854,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.7816997011107955,0.12381743257756692,0.8655695909143586,0.04724902044713707,0.16250266461827154,0.44701348747591524,0.06653846153846153,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.9147321207274695,0.06853539150283577,0.6786417893151002,0.03687728425142406,0.10397510917317945,0.7123041356280504,0.09982051282051282,0.3213582106848998
control,0,C03-T13,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.6038943996165563,0.13809886254694215,0.8909491250434581,0.06074874057489052,0.19077492787475744,0.3377602297200287,0.07143589743589744,0.1090508749565419
control,0,C06-T17,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.6156616793825227,0.17249271252251028,0.8664966971839148,0.09726383721313095,0.1992811574256594,0.28056502679006334,0.10528205128205129,0.1335033028160853
control,0,C05-T17-q8,,True,0,5,[],,,control,,,1,complete,FQK,39000,58.954338300041854,0.6363191790065087,0.15798833218835223,0.8696256808436668,0.0922261367752132,0.19778247483906192,0.28655119714722366,0.10066666666666667,0.1303743191563333
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,2,complete,Q01b,39000,59.25123060005717,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.5077127107904577,19.1707803760059,control,0.6240112925185511,1.4613701783372106,2,complete,Q01b,39000,59.25123060005717,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.36367218294259906,19.62597320123769,control,0.453539734269939,1.0621433462814582,2,complete,Q01b,39000,59.25123060005717,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.7816915315801448,0.12379940097506238,0.8655695909143586,0.04721609430048401,0.16250164738201398,0.4471858134155744,0.06651282051282051,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.9104347072127023,0.07681331556449807,0.6785259010314058,0.034078561785914195,0.10959947184628277,0.7282751378314518,0.09766666666666667,0.3214740989685943
control,0,C03-T13,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.6891655871483461,0.12185921338497376,0.6713408274423456,0.034539527839057,0.15853465251304308,0.72998712998713,0.09961538461538462,0.3286591725576544
control,0,C06-T17,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.6232733886803709,0.197945053203484,0.8502723374666821,0.12350597609561753,0.2090008803140287,0.2561967083085465,0.12930769230769232,0.14972766253331787
control,0,C05-T17-q8,,True,0,5,[],,,control,,,2,complete,FQK,39000,59.25123060005717,0.5795585583238038,0.15689546071561888,0.9451848418124927,0.04171742780942346,0.18573522812402338,0.2718390804597701,0.04461538461538461,0.05481515818750724
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,3,complete,Q01b,39000,59.319412200013176,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.4715528807594375,19.14267409091141,control,0.5721356553681374,1.339882778953965,3,complete,Q01b,39000,59.319412200013176,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.3446370051765542,19.76413136403205,control,0.4099651559788272,0.9600961717964586,3,complete,Q01b,39000,59.319412200013176,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,3,complete,FQK,39000,59.319412200013176,0.7818774275139313,0.1237896617156462,0.8655695909143586,0.04721609430048401,0.162481949621979,0.4471858134155744,0.06651282051282051,0.13443040908564144
