dimension,value,all_five_folds_and_twenty_seeds,qualified_dequantization_regime,q01b_mean_nrmse,a01_mean_nrmse,q01b_minus_a01_ci_lower,q01b_minus_a01_ci_upper,a02_mean_nrmse,q01b_minus_a02_ci_lower,q01b_minus_a02_ci_upper,compressed_c05_mean_nrmse,q01b_minus_compressed_c05_ci_lower,q01b_minus_compressed_c05_ci_upper
base_trajectory_family,C,True,False,0.4771982658144952,0.42588944481053403,0.02177753784340984,0.07870392137471102,0.3618997356045383,0.11446692889877422,0.11614609169083275,0.2649785220010643,0.20097589328212023,0.22162339181677887
base_trajectory_family,T,False,False,,,,,,,,,,
boundary_or_tail,false,True,False,0.6575098740474747,0.6129957212233103,0.020491786917877303,0.06649445028503015,0.5588947232572737,0.097770661409977,0.09951333453341159,0.45110177116137473,0.19238018153685363,0.21867324690598763
boundary_or_tail,true,True,False,0.6721664874648807,0.6208735868990698,0.02473432724279763,0.07494579089924479,0.5713941932895396,0.09992342775730159,0.10168846218609162,0.4514017977222082,0.20516303671440375,0.23432849005572837
fidelity,F0,True,False,0.37923437602446974,0.3835654165388772,-0.02882616766127848,0.01812343066775672,0.26828616669776495,0.11029212504835414,0.1116335118270891,0.21882554516615965,0.15200684380570686,0.1678588708179643
fidelity,F1,True,False,0.7013537010525408,0.647965491149113,0.028108559625829064,0.0765613779281616,0.6007572165234382,0.09969911615921097,0.10153008455403119,0.4823923895642487,0.20330357844605235,0.2325073905762514
fidelity,F2,True,False,0.6905920666025531,0.6488867348584979,0.01701208266383242,0.06457840193432687,0.594659084201967,0.0950021496807426,0.09698875893592708,0.47244165112809633,0.20369521372509125,0.23103481035776713
reference_feasible_status,no_reference_feasible,True,False,0.8161469234887297,0.764148629958174,0.028071460358205937,0.07385010390471229,0.7268090739893006,0.08833601330995815,0.09038571544300028,0.592826200739383,0.20450761367616055,0.23968054993802304
reference_feasible_status,reference_feasible,True,False,0.409785605549667,0.3586718540502929,0.0036598264569846217,0.09317795781195033,0.2570923659505312,0.15143047069686388,0.1538818368265938,0.17076843512635712,0.2278595807584824,0.24817894863551848
uncertainty_family,U0,False,False,,,,,,,,,,
uncertainty_family,U1,False,False,,,,,,,,,,
uncertainty_family,U2,False,False,,,,,,,,,,
uncertainty_family,U3,False,False,,,,,,,,,,
uncertainty_family,U4,False,False,,,,,,,,,,
