alpha,calibration_rows_read,clipped_eigenvalues,condition,decision_sets,effective_rank,eligible,entangle,feature_scale,final_test_rows_read,fold_count,gamma,gamma_multiplier,ineligible_folds,kernel_target_alignment_fqk,kernel_target_alignment_q01b,landmarks,layers,maximum_negative_eigenvalue,mean_fold_nrmse,mean_regret_m_s,minimum_eigenvalue_before_clip,model_view,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,pooled_oof_nrmse,pooled_oof_rmse,projection_id,qubits,regularized_condition_number,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
1.0,0,21.6,exact_statevector,7800,15.435618321862838,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1548991989739794,0.18909339225103258,256,1,-3.665074776971622e-15,0.5570485874729719,19.318844321881922,-3.665074776971622e-15,projected,0.7806381536506773,0.6128774999214461,0.9574862122197529,0.10267812672896463,0.6626132475764317,1.5517719813549387,PX-03,8,804.5308475743752,1,complete,Q01b,39000,6.420882799953688,,,,,,,,
1.0,0,21.6,exact_statevector,,15.435618321862838,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1548991989739794,0.18909339225103258,256,1,-3.665074776971622e-15,,,-3.665074776971622e-15,projected,0.7806381536506773,0.6128774999214461,0.9574862122197529,0.10267812672896463,,,PX-03,8,804.5308475743752,1,complete,FQK,39000,6.420882799953688,0.7433467290868667,0.11324616526048487,0.8911809016108472,0.08774818083039741,0.1560757727561416,0.2605438401775805,0.09241025641025641,0.10881909838915285
1.0,0,20.0,exact_statevector,7800,15.422556301335714,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549036754558296,0.18898331024766918,256,1,-2.5173650574307102e-15,0.5539084587265711,19.32397721712013,-2.5173650574307102e-15,projected,0.7806379032894699,0.6128788365826038,0.9574848917801347,0.10267775131440986,0.657388582836764,1.5395363546380818,PX-03,8,804.5306675259627,2,complete,Q01b,39000,3.183812699979171,,,,,,,,
1.0,0,20.0,exact_statevector,,15.422556301335714,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549036754558296,0.18898331024766918,256,1,-2.5173650574307102e-15,,,-2.5173650574307102e-15,projected,0.7806379032894699,0.6128788365826038,0.9574848917801347,0.10267775131440986,,,PX-03,8,804.5306675259627,2,complete,FQK,39000,3.183812699979171,0.7436955214934418,0.11302289124338215,0.8912967898945416,0.08774818083039741,0.15604353669542154,0.260338606716625,0.09238461538461538,0.10870321010545834
1.0,0,25.2,exact_statevector,7800,15.39944265662059,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490767302857533,0.1888961344646462,256,1,-3.3035438732260184e-15,0.5571719200792873,19.31372481119282,-3.3035438732260184e-15,projected,0.7806373194726067,0.6128799895362556,0.9574791535131307,0.10267745765862546,0.6620858384252676,1.5505368434423175,PX-03,8,804.5302195236419,3,complete,Q01b,39000,3.1920974999666214,,,,,,,,
1.0,0,25.2,exact_statevector,,15.39944265662059,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490767302857533,0.1888961344646462,256,1,-3.3035438732260184e-15,,,-3.3035438732260184e-15,projected,0.7806373194726067,0.6128799895362556,0.9574791535131307,0.10267745765862546,,,PX-03,8,804.5302195236419,3,complete,FQK,39000,3.1920974999666214,0.7437909706874912,0.1132325288019986,0.8915285664619307,0.08755062395047908,0.15607826569886277,0.26036161335187763,0.09217948717948718,0.1084714335380693
1.0,0,21.8,exact_statevector,7800,15.423789453918499,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490005205951213,0.18901070596079483,256,1,-2.9345803595984856e-15,0.5559145128539157,19.321413114556027,-2.9345803595984856e-15,projected,0.7806379887820499,0.6128764121387228,0.9574897049543374,0.10267783103282671,0.660843347955878,1.5476270587307206,PX-03,8,804.5306719364028,4,complete,Q01b,39000,3.1899273000308312,,,,,,,,
1.0,0,21.8,exact_statevector,,15.423789453918499,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.15490005205951213,0.18901070596079483,256,1,-2.9345803595984856e-15,,,-2.9345803595984856e-15,projected,0.7806379887820499,0.6128764121387228,0.9574897049543374,0.10267783103282671,,,PX-03,8,804.5306719364028,4,complete,FQK,39000,3.1899273000308312,0.743801622366525,0.11326440902033613,0.8907173484760691,0.08761647624378519,0.15606745200727473,0.26165371809101,0.09241025641025641,0.10928265152393093
1.0,0,19.0,exact_statevector,7800,15.432210925497259,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549023752685002,0.1890296871015285,256,1,-1.8234699982607082e-14,0.55444181359023,19.318835121270514,-1.8234699982607082e-14,projected,0.7806380579911097,0.6128769840232178,0.9574876356495802,0.10267824722958778,0.6583403166750992,1.5417652172656215,PX-03,8,804.530870232775,5,complete,Q01b,39000,3.1747927000396885,,,,,,,,
1.0,0,19.0,exact_statevector,,15.432210925497259,True,False,1.0,0,5,0.055702902976317595,0.25,[],0.1549023752685002,0.1890296871015285,256,1,-1.8234699982607082e-14,,,-1.8234699982607082e-14,projected,0.7806380579911097,0.6128769840232178,0.9574876356495802,0.10267824722958778,,,PX-03,8,804.530870232775,5,complete,FQK,39000,3.1747927000396885,0.7437043664126608,0.11322864878869959,0.8910650133271526,0.08774818083039741,0.15611066336987142,0.260748959778086,0.09243589743589743,0.10893498667284737
