fidelity,group_id,split,base_trajectory,mission_phase,mission_epoch_utc,uncertainty_family,case_count,decision_set_count,candidates_per_decision_set,decision_set_id_first,decision_set_id_last,boundary_or_tail_case_count,boundary_selection_method,boundary_id_commitment,scenario_id_first,scenario_id_last,group_fingerprint,seed_namespace_commitment,feature_payload_status,label_payload_status
F0,G01,development,C01,outbound_early,2026-04-03T01:30:00Z,U0,500,100,5,F0-G01-D000001,F0-G01-D000100,125,sha256_rank_lowest_quarter,a7264a9b7bf826eea84eddd89beaa816d2159d102d30fef48e18adc643b9b5b8,F0-G01-000001,F0-G01-000500,14d81c21b21c9e3db5b553ac6b826b56980698a5304cb2f4f7fdd536466a44b9,951cd944792ad2db62918976e5281b1e5a0b34a7a60f58dbe463fca93ea1ef5e,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G02,development,C02,outbound_early,2026-04-03T19:00:00Z,U1,500,100,5,F0-G02-D000001,F0-G02-D000100,125,sha256_rank_lowest_quarter,1ceb5b6a6f52f4d78bbf40b4a96e03f0f9f39af97a18a3c677d275d30158ea31,F0-G02-000001,F0-G02-000500,49757bb8d9b992fc1064636f3bd8243b3c75205cef0ece874e6b33d421f0ff8c,f54ff7477d100b9470b5f2ff35f9fde75a93a69134b84f6a2c05496b9b0987d6,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G03,development,C03,outbound_mid,2026-04-04T19:00:00Z,U2,500,100,5,F0-G03-D000001,F0-G03-D000100,125,sha256_rank_lowest_quarter,7ef286fde7cfe565c8fd5e63cd87c0b52551983fc9b3e977660b2f3a1739cc95,F0-G03-000001,F0-G03-000500,74b7b8704a47a37e3e1bf00d40fed39466ef6b77a1d5e66f4f3e074a9525e228,9ea6270d4a2d5f17647caf4e6f9ce6e9f1a3111c2e5883d78d9fa1351a727e4d,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G04,development,C04,outbound_mid,2026-04-05T06:00:00Z,U3,500,100,5,F0-G04-D000001,F0-G04-D000100,125,sha256_rank_lowest_quarter,adf7d6d667c72b73a18375130cb62508530a32321713eecf8666d5083d999650,F0-G04-000001,F0-G04-000500,f2ee5fd7f05157f34f7b7a81d0e6612cbad8454e25d049be7a1b03efe36e2ae9,9b4885feef78c5d8c68a40c84f9fe75b45af4caea7fb524a01f0788019d75637,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G05,development,C05,outbound_late,2026-04-06T04:00:00Z,U4,500,100,5,F0-G05-D000001,F0-G05-D000100,125,sha256_rank_lowest_quarter,cc15a5e57f8ea52257bd23687a5fe234dc0eafeeee8fb0da0829a044bad4b8e3,F0-G05-000001,F0-G05-000500,d69fe791e0a25b420caab0d9c4eaf20c2339989991514feeff959b8cc0e77951,04cc87d559ee97841b7924c1bd3c9a73b61ee1c11792255512f95d3dfbe13060,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G06,development,C06,lunar_exit,2026-04-07T02:00:00Z,U0,500,100,5,F0-G06-D000001,F0-G06-D000100,125,sha256_rank_lowest_quarter,d36794d8ad9e54f494f0e86b8b825e05f8e28ee32ce53d5b0f2643336261f66a,F0-G06-000001,F0-G06-000500,54b4758d557d5eb299b2c68c6e4acb8b6f57b9f7d395f0383f2a6a1a5296b9a5,241adde6919faf61b66fe358f31adcb171da440e7486efb2592879f286c20038,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G07,development,C07,return_mid,2026-04-08T06:00:00Z,U1,500,100,5,F0-G07-D000001,F0-G07-D000100,125,sha256_rank_lowest_quarter,b7072ce3083046154237e6fba49bd9e1e04c8a44309a5ca72b323cda2265b543,F0-G07-000001,F0-G07-000500,2c638a5b0d84a61fe9e60e8f8cc58db610b9ed1ee70e1c0c6f286f100f5ad19d,948d44d497daaf916e6517b6b112e5f1f459a93337b9becf26d1e8443bf9b6b7,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G08,development,C08,return_late,2026-04-09T02:00:00Z,U2,500,100,5,F0-G08-D000001,F0-G08-D000100,125,sha256_rank_lowest_quarter,16e98427441f2abbe50e320fbc30ce82563bd9c845bcbb6c56218d717ec4dd20,F0-G08-000001,F0-G08-000500,4daca19150baa259509defec9136f6dde2712a2e153b1d7ae4a7cc3ffb2d0644,bf98fca5b7db1e7f83a4255089f91b5e2502f0c4600c7843b84b03d6de030b9f,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G09,development,T01,outbound_early,2026-04-03T08:00:00Z,U3,500,100,5,F0-G09-D000001,F0-G09-D000100,125,sha256_rank_lowest_quarter,a409e60f741a931cfeaf17c38f7bf7d6349f2150a3e071776075e9977b8fdef9,F0-G09-000001,F0-G09-000500,71c456590a7348f19381f2c0d0846952663ec23787ede39d314da279c84c7795,dfbbaae3cfb7d7cc7a6515ed488e73f35bee4728a56da163fd9d38a1e57c2a6f,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G10,development,T02,outbound_mid,2026-04-04T02:00:00Z,U4,500,100,5,F0-G10-D000001,F0-G10-D000100,125,sha256_rank_lowest_quarter,9c90239f082357a64eead9b6612822a4e70898bd5b54ddf3e7379142ec20aac8,F0-G10-000001,F0-G10-000500,6e14a88630c78530e27e781dd461d96a4d41aaec92c01205305d5e58291bf836,b53ad5a286de5aa40963e5f0526d31b14b38f4941964ba1ec5be0cbdf9938cc9,not_generated_gate_4_freeze,not_generated_gate_4_freeze
