fidelity,split,group_id,records,elapsed_s,sha256,timestamp_utc
F0,development,G01,500,83.01,6d1305e8c638dea019840c3a1568b587fa9883b80c6433f4d9e3ac9a5b6d4a07,2026-07-11T21:23:51.556480+00:00
F0,development,G01,500,83.64,0a5f5627999ea261cc61f9f7eb06d86c620d5032f4bf1448d6ade2f59447f927,2026-07-11T21:42:10.699922+00:00
F0,development,G01,500,46.18,d4e695972f70ab899843083d1a62e9db428bb370ff9170f93fdb0d971b08d76e,2026-07-11T21:47:46.909250+00:00
F0,development,G02,500,43.79,818fdb39502b8abd9a63d3fa84fbc349f25bb5b1f2944ff5d82ba61ce5e06f83,2026-07-11T21:53:21.982900+00:00
F0,development,G03,500,35.48,2d7423f7294a57262183f7240f9ea4f597e7d4012e8bb7efa5303144e72b45bb,2026-07-11T21:53:57.468330+00:00
F0,development,G04,500,31.94,58bc5371c0336133618295c544ae01ac42744efdc9652f66dae32594a29c102e,2026-07-11T21:54:29.410767+00:00
F0,development,G05,500,26.3,c4d861d1bb2f0304b3a1adf33fc2de42c92aee3d54061a1ebffdc97618e44c8d,2026-07-11T21:54:55.723173+00:00
F0,development,G06,500,20.17,f417c16798f726fa6ab091f041d90be4a3905f8d349be094f416f3ccac71ef27,2026-07-11T21:55:15.903253+00:00
F0,development,G07,500,11.66,faa8a1687a166bdff9051d449a5fd83c5cb0adc525c1d909b4ef7c1eeb28b98b,2026-07-11T21:55:27.571327+00:00
F0,development,G08,500,6.02,36bcdcfcb3f9d477adcc13674fe6f725b5042b2e037a7fe7fdfa5e832fa7ab5b,2026-07-11T21:55:33.598669+00:00
F0,development,G09,500,44.64,26aac1d7ab205262e644c777febdc00892302282e37ad17afa757d1ec418fdd4,2026-07-11T21:56:18.242432+00:00
F0,development,G10,500,39.42,2cf416e04ca6244c96abda45ea03c5a70a3eb80795f78cd0f830b26368f4ac0e,2026-07-11T21:56:57.673660+00:00
F0,development,G11,500,29.38,32f65b2d61d7ea41467567789139bb4657d7d7d1c25d9a1ddb0c1179bfb865d2,2026-07-11T21:57:27.065512+00:00
F0,development,G12,500,18.69,3ea29acea0bea9f739438381f2235e685f3395728f9c8b7dfac99c679c594167,2026-07-11T21:57:45.766798+00:00
F0,uncertainty_calibration,G13,500,32.76,bfb53845c645dc7ed965320f6056f62c37682711d2e3adf02e9bb2a70ccf4665,2026-07-11T21:59:19.963931+00:00
F0,uncertainty_calibration,G14,500,6.17,68c3a82b937063a987fde6e79bf27a8a87cf1b9e0c618e46af521fcb76ba9d0f,2026-07-11T21:59:26.143112+00:00
