audit_label,fidelity,split,group_id,base_trajectory,uncertainty_family,expected_records,observed_records,expected_decision_sets,observed_decision_sets,schema_error_records,relationship_error_records,nonfinite_records,feasible_records,feasibility_rate,no_reference_feasible_sets,no_reference_feasible_rate,nonconverged_records,median_robust_delta_v_m_s,median_terminal_position_error_km,p95_terminal_position_error_km,median_terminal_velocity_error_m_s,uncertainty_conformance,uncertainty_notes,payload_sha256,latest_ledger_sha256,ledger_matches_payload,audit_status,error_example
post_d003_f2,F2,development,G01,C01,U0,250,250,50,50,0,0,0,200,0.8,0,0.0,0,0.0,0.0,101.885820572,0.0,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0;observed_pointing_deg=0,481d313ddcea07697e4bb85f2bcab8c0186d3659ac38298a7c54a89588dc7d1c,481d313ddcea07697e4bb85f2bcab8c0186d3659ac38298a7c54a89588dc7d1c,true,valid,
post_d003_f2,F2,development,G02,C02,U1,250,250,50,50,0,0,0,1,0.004,49,0.98,0,0.69655502,515.60213907,3415.272696077,147.546559702,true,observed_nav_position_km=0.651328986;observed_nav_velocity_m_s=0.00659431698;observed_thrust_fraction=0;observed_pointing_deg=0,8ba5444f4aa57600d96495055092cda4d43337501adc47b810c561dcc1c5651b,8ba5444f4aa57600d96495055092cda4d43337501adc47b810c561dcc1c5651b,true,valid,
post_d003_f2,F2,development,G03,C03,U2,250,250,50,50,0,0,0,12,0.048,38,0.76,0,0.933451584,177.943177016,2653.725477898,42.832984609,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.00208603076;observed_pointing_deg=0.0299389616,a15057d085094eafb5f5d0efbddbf834783f5d91418b12008e08fcffe9cf4296,a15057d085094eafb5f5d0efbddbf834783f5d91418b12008e08fcffe9cf4296,true,valid,
post_d003_f2,F2,development,G04,C04,U3,250,250,50,50,0,0,0,0,0.0,50,1.0,0,0.918608478,224.197368227,2605.533484978,60.876968796,true,observed_nav_position_km=0.686742792;observed_nav_velocity_m_s=0.00682881882;observed_thrust_fraction=0.00209334162;observed_pointing_deg=0.0300689304,e41c513c36ffa7b8435aa7ceab761ca2cf56071c0cf6de2385e2aeab3abdca05,e41c513c36ffa7b8435aa7ceab761ca2cf56071c0cf6de2385e2aeab3abdca05,true,valid,
post_d003_f2,F2,development,G05,C05,U4,250,250,50,50,0,0,0,5,0.02,45,0.9,0,0.797479339,164.781829405,1255.916484722,13.387435465,true,observed_nav_position_km=0.648253326;observed_nav_velocity_m_s=0.0065310858;observed_thrust_fraction=0.00205360464;observed_pointing_deg=0.0295424166,02d11128a98bc3f160ac6eee422c10f0f574d63400e1c0d224b9b8d4d17e02b8,02d11128a98bc3f160ac6eee422c10f0f574d63400e1c0d224b9b8d4d17e02b8,true,valid,
post_d003_f2,F2,development,G06,C06,U0,250,250,50,50,0,0,0,204,0.816,0,0.0,0,0.0,0.0,59.922491477,0.0,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0;observed_pointing_deg=0,7551f3c6ee9a42c47543177fb97a6ef70ec875e99ed8e28e292f08ca89abe47a,7551f3c6ee9a42c47543177fb97a6ef70ec875e99ed8e28e292f08ca89abe47a,true,valid,
post_d003_f2,F2,development,G07,C07,U1,250,250,50,50,0,0,0,39,0.156,21,0.42,0,0.151130125,21.885378982,119.138211966,2.372096851,true,observed_nav_position_km=0.682412198;observed_nav_velocity_m_s=0.00683696087;observed_thrust_fraction=0;observed_pointing_deg=0,cfa4b2bf63726d903200bd6e30b557e2f2fbe492508ec3e0d70c639f1b91d79d,cfa4b2bf63726d903200bd6e30b557e2f2fbe492508ec3e0d70c639f1b91d79d,true,valid,
post_d003_f2,F2,development,G08,C08,U2,250,250,50,50,0,0,0,65,0.26,5,0.1,0,0.25841524,14.550242079,67.747725091,2.163763787,true,observed_nav_position_km=0;observed_nav_velocity_m_s=0;observed_thrust_fraction=0.00217232391;observed_pointing_deg=0.0307388465,c9bfc6138e36b8d6b28d429ffc9d925e6538f63ac89148d46f1fd1be174f4839,c9bfc6138e36b8d6b28d429ffc9d925e6538f63ac89148d46f1fd1be174f4839,true,valid,
post_d003_f2,F2,development,G09,T01,U3,250,250,50,50,0,0,0,0,0.0,50,1.0,0,0.877877135,1237.785398207,7077.256379372,346.644173199,true,observed_nav_position_km=0.687206889;observed_nav_velocity_m_s=0.00699916021;observed_thrust_fraction=0.00203751755;observed_pointing_deg=0.0301370139,33b290aff887f81345ae47a7e0cd9fb598112536b43d45722d32e110e4927206,33b290aff887f81345ae47a7e0cd9fb598112536b43d45722d32e110e4927206,true,valid,
post_d003_f2,F2,development,G10,T02,U4,250,250,50,50,0,0,0,1,0.004,49,0.98,0,2.038878471,657.221057007,4200.647572376,181.455472222,true,observed_nav_position_km=0.649112298;observed_nav_velocity_m_s=0.00659802236;observed_thrust_fraction=0.00208846888;observed_pointing_deg=0.0297727273,927e189eca99d3bf00a2f65566a22801e12c7f1b56e600f1f6cf10cc8eddd212,927e189eca99d3bf00a2f65566a22801e12c7f1b56e600f1f6cf10cc8eddd212,true,valid,
