family_id,model_family,candidate_role,trial_id,trial_order,parameters_json,selection_objective,tie_breaker,execution_status
C01,ridge_elastic_net,primary_candidate,C01-T01,1,"{""alpha"":100.0,""estimator"":""elastic_net"",""l1_ratio"":0.1}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T02,2,"{""alpha"":1.0,""estimator"":""elastic_net"",""l1_ratio"":0.1}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T03,3,"{""alpha"":1e-05,""estimator"":""elastic_net"",""l1_ratio"":0.5}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T04,4,"{""alpha"":0.1,""estimator"":""elastic_net"",""l1_ratio"":0.5}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T05,5,"{""alpha"":100.0,""estimator"":""elastic_net"",""l1_ratio"":0.5}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T06,6,"{""alpha"":1e-06,""estimator"":""elastic_net"",""l1_ratio"":0.1}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T07,7,"{""alpha"":1e-05,""estimator"":""elastic_net"",""l1_ratio"":0.9}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T08,8,"{""alpha"":10.0,""estimator"":""elastic_net"",""l1_ratio"":0.9}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T09,9,"{""alpha"":0.1,""estimator"":""elastic_net"",""l1_ratio"":0.1}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T10,10,"{""alpha"":0.0001,""estimator"":""elastic_net"",""l1_ratio"":0.1}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T11,11,"{""alpha"":1e-05,""estimator"":""ridge""}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T12,12,"{""alpha"":0.01,""estimator"":""elastic_net"",""l1_ratio"":0.9}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T13,13,"{""alpha"":0.01,""estimator"":""elastic_net"",""l1_ratio"":0.1}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T14,14,"{""alpha"":0.001,""estimator"":""ridge""}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T15,15,"{""alpha"":0.001,""estimator"":""elastic_net"",""l1_ratio"":0.5}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
C01,ridge_elastic_net,primary_candidate,C01-T16,16,"{""alpha"":100.0,""estimator"":""ridge""}",development grouped-CV robust-cost NRMSE,development feasibility-constrained regret,frozen_not_run
