family_id,completed_rung,next_rung,task_status,advancement_error,rank,trial_id,model_family,pooled_oof_nrmse,mean_regret_m_s,complexity_proxy,effective_qubits,selected_for_next_rung,view
Q01,128,256,complete,,1,Q01-T17,quantum_kernel,0.8381802716511935,19.204016383013204,"[128, 12, 1]",4,True,
Q01,128,256,complete,,2,Q01-T10,quantum_kernel,0.8805162480554166,19.015275377658078,"[128, 12, 0]",6,True,
Q01,128,256,complete,,3,Q01-T13,quantum_kernel,0.90814936752706,18.733849057836537,"[128, 16, 1]",8,True,
Q01,128,256,complete,,4,Q01-T22,quantum_kernel,0.9586837965907289,19.092004354227694,"[128, 6, 0]",6,True,
Q01,128,256,complete,,5,Q01-T19,quantum_kernel,0.9730703451850387,19.33776885085859,"[128, 8, 0]",8,True,
Q01,128,256,complete,,6,Q01-T03,quantum_kernel,0.97454656346433,17.644744480664613,"[128, 16, 0]",8,True,
Q01,128,256,complete,,7,Q01-T30,quantum_kernel,1.0013928880256984,19.089664292393973,"[256, 8, 0]",8,True,
Q01,128,256,complete,,8,Q01-T06,quantum_kernel,1.0025265582556613,15.988794125747436,"[256, 24, 0]",8,True,
Q01,128,256,complete,,9,Q01-T21,quantum_kernel,1.0030887874225136,19.94115088362564,"[128, 24, 1]",8,True,
Q01,128,256,complete,,10,Q01-T05,quantum_kernel,1.0054930060541656,19.319493242756796,"[128, 12, 0]",6,True,
Q01,128,256,complete,,11,Q01-T09,quantum_kernel,1.0055409364718517,19.997435897435896,"[256, 24, 1]",8,True,
Q01,128,256,complete,,12,Q01-T27,quantum_kernel,1.0059045825432633,19.68794031590359,"[128, 16, 0]",8,True,
Q01,128,256,complete,,13,Q01-T24,quantum_kernel,1.0240226455892925,19.006566045446156,"[256, 8, 0]",8,True,
Q01,128,256,complete,,14,Q01-T04,quantum_kernel,1.0241079083985698,19.388664426516538,"[256, 24, 0]",8,True,
Q01,128,256,complete,,15,Q01-T08,quantum_kernel,1.028526549377681,19.36602728884872,"[256, 12, 0]",4,True,
Q01,128,256,complete,,16,Q01-T02,quantum_kernel,1.0390665887115356,18.96655197624615,"[256, 12, 1]",6,False,
