task_key,task_signature,source_commit,stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,source_split,calibration_rows_read,final_test_rows_read,fold_id,training_seed,qubits,data_reupload_layers,feature_scale,entangle,shots,noise_state,training_rows,validation_rows,training_groups,validation_groups,rmse,nrmse,mae,mean_regret_m_s,no_reference_feasible_rate,training_wall_time_s,inference_wall_time_s,feasibility_metric_error,cost_fitted_trainable_parameter_count,feasibility_fitted_trainable_parameter_count,feasibility_samples,feasibility_precision,feasibility_recall,feasibility_auroc,feasibility_brier,feasibility_expected_calibration_error,eligible_to_advance,fold_end_to_end_wall_time_s,centered_kernel_target_alignment,effective_rank,kernel_rows,nystrom_landmarks,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,regularized_condition_number
C01-T18__primary__rfull__qraw__s01,f089f74a54c6eba19b5d1e161c9663d203dad0a57de361d5c5c50cb756bcdba2,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,1,primary_candidate,,candidate,development,0,0,CV01,2215023969,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,16.146633458003635,0.0031702499982202426,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753957933944664,0.07599188331364373,0.07752061578007331,True,17.420356208007433,,,,,,,,,
C01-T18__primary__rfull__qraw__s01,f089f74a54c6eba19b5d1e161c9663d203dad0a57de361d5c5c50cb756bcdba2,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,1,primary_candidate,,candidate,development,0,0,CV02,2215023969,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.436257451269743,0.41384615384615386,16.92757062499004,0.002315332996658981,,54,54,9750,0.5521663778162912,0.4827272727272727,0.8109383133662205,0.17763088732287222,0.1950013821627887,True,18.79891245800536,,,,,,,,,
C01-T18__primary__rfull__qraw__s01,f089f74a54c6eba19b5d1e161c9663d203dad0a57de361d5c5c50cb756bcdba2,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,1,primary_candidate,,candidate,development,0,0,CV03,2215023969,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,13.962634541006992,0.002260749999550171,,55,55,9750,0.21942446043165467,0.12398373983739837,0.8380585369366329,0.053433664670364124,0.050117399678126756,True,15.802630208010669,,,,,,,,,
C01-T18__primary__rfull__qraw__s01,f089f74a54c6eba19b5d1e161c9663d203dad0a57de361d5c5c50cb756bcdba2,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,1,primary_candidate,,candidate,development,0,0,CV04,2215023969,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,19.287908750004135,0.001786875000107102,,54,54,6500,0.36875,0.09335443037974683,0.8508316938900538,0.07550625721415515,0.02723065376932054,True,20.5220220409974,,,,,,,,,
C01-T18__primary__rfull__qraw__s01,f089f74a54c6eba19b5d1e161c9663d203dad0a57de361d5c5c50cb756bcdba2,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,1,primary_candidate,,candidate,development,0,0,CV05,2215023969,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,18.355302208001376,0.001728582996292971,,54,54,6500,0.47407067462138597,0.8082942097026604,0.8354507443828895,0.1497374689095251,0.14361860591680636,True,19.52852658300253,,,,,,,,,
C01-T18__primary__rfull__qraw__s02,9bb887f9229679430dc1f2d81bb44cf187ae979fb13314341348892f7ff36e65,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,2,primary_candidate,,candidate,development,0,0,CV01,1913486466,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,16.173128832990187,0.003912416999810375,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753999050120714,0.07594007474746237,0.0777050406469174,True,17.43596850000904,,,,,,,,,
C01-T18__primary__rfull__qraw__s02,9bb887f9229679430dc1f2d81bb44cf187ae979fb13314341348892f7ff36e65,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,2,primary_candidate,,candidate,development,0,0,CV02,1913486466,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.436257451269743,0.41384615384615386,16.89217470899166,0.0026177499967161566,,54,54,9750,0.5521663778162912,0.4827272727272727,0.8109427766032418,0.1776164741754515,0.19499228209220104,True,18.748761708993698,,,,,,,,,
C01-T18__primary__rfull__qraw__s02,9bb887f9229679430dc1f2d81bb44cf187ae979fb13314341348892f7ff36e65,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,2,primary_candidate,,candidate,development,0,0,CV03,1913486466,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,13.958912374990177,0.00222491699969396,,55,55,9750,0.2210144927536232,0.12398373983739837,0.838096078627669,0.053419506170852726,0.050106718154566916,True,15.808543874998577,,,,,,,,,
C01-T18__primary__rfull__qraw__s02,9bb887f9229679430dc1f2d81bb44cf187ae979fb13314341348892f7ff36e65,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,2,primary_candidate,,candidate,development,0,0,CV04,1913486466,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,19.310575625000638,0.001915999993798323,,54,54,6500,0.36875,0.09335443037974683,0.8508311545995013,0.07550702351961394,0.02723630848467493,True,20.56205479199707,,,,,,,,,
C01-T18__primary__rfull__qraw__s02,9bb887f9229679430dc1f2d81bb44cf187ae979fb13314341348892f7ff36e65,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,2,primary_candidate,,candidate,development,0,0,CV05,1913486466,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,18.332075041995267,0.0015907920023892075,,54,54,6500,0.47407067462138597,0.8082942097026604,0.835462581865935,0.1497441473078492,0.1436408086293358,True,19.50409416698676,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV01,3541654860,,,,,,,32500,6500,10,2,0.025148007433732692,0.01073830632074702,0.016218581251749596,10.0,0.3123076923076923,16.156204958999297,0.0017751249979482964,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753818330184121,0.0761119561850775,0.07740966739896486,True,17.523581959001604,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV02,3541654860,,,,,,,29250,9750,9,3,0.06381912677573504,0.027251039043402703,0.053265333089901445,11.446513861526153,0.41384615384615386,17.429631291000987,0.002648541994858533,,54,54,9750,0.5520110957004161,0.4824242424242424,0.8109171717171717,0.17768833259116823,0.19487771522290442,True,19.267557834013132,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV03,3541654860,,,,,,,29250,9750,9,3,0.03349544960453296,0.014302699693103759,0.026962544337707187,19.57975544092513,0.838974358974359,14.310159125001519,0.0034532499994384125,,55,55,9750,0.21942446043165467,0.12398373983739837,0.8380278010492355,0.053444384474501325,0.0503080115162385,True,16.301152874992113,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV04,3541654860,,,,,,,32500,6500,10,2,0.023855955970564162,0.010186594841011162,0.017281086379304086,19.430823940648462,0.6576923076923077,21.62209858300048,0.00255874999857042,,54,54,6500,0.36875,0.09335443037974683,0.850833042116435,0.07550404428936851,0.02721605440675951,True,23.05191554198973,,,,,,,,,
C01-T18__primary__rfull__qraw__s03,284e30b3205d46e6c2a50a2f53553d58dd92b4fbfe9870396d1e7f114374e69a,6e5a6202eec486e88af6b969f6af86571fb0ce32,seed_rerun,C01,ridge_elastic_net,C01-T18,18,primary,,,3,primary_candidate,,candidate,development,0,0,CV05,3541654860,,,,,,,32500,6500,10,2,0.03327203290666042,0.014207299811214625,0.028081870802997327,17.615776675117694,0.39384615384615385,19.045321874989895,0.0019484579970594496,,54,54,6500,0.47407067462138597,0.8082942097026604,0.8354327633959852,0.14971782524187227,0.14353084432475027,True,20.39281674999802,,,,,,,,,
