task_key,task_signature,source_commit,stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,source_split,calibration_rows_read,final_test_rows_read,fold_id,training_seed,qubits,data_reupload_layers,feature_scale,entangle,shots,noise_state,training_rows,validation_rows,training_groups,validation_groups,rmse,nrmse,mae,mean_regret_m_s,no_reference_feasible_rate,training_wall_time_s,inference_wall_time_s,feasibility_metric_error,cost_fitted_trainable_parameter_count,feasibility_fitted_trainable_parameter_count,feasibility_samples,feasibility_precision,feasibility_recall,feasibility_auroc,feasibility_brier,feasibility_expected_calibration_error,eligible_to_advance,fold_end_to_end_wall_time_s,centered_kernel_target_alignment,cost_gradient_norm_proxy,cost_initial_loss,cost_logical_circuit_depth,cost_loss_improvement,cost_objective_evaluations,cost_optimization_message,cost_optimization_success,cost_optimizer_iterations,cost_parameter_count,cost_resource_count_scope,cost_training_loss,cost_two_qubit_gate_count,effective_rank,feasibility_gradient_norm_proxy,feasibility_initial_loss,feasibility_logical_circuit_depth,feasibility_loss_improvement,feasibility_objective_evaluations,feasibility_optimization_message,feasibility_optimization_success,feasibility_optimizer_iterations,feasibility_parameter_count,feasibility_resource_count_scope,feasibility_training_loss,feasibility_two_qubit_gate_count,kernel_rows,nystrom_landmarks,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,regularized_condition_number
C01-T01__primary__rfull__qraw__s01,826d90383fbbd515b00841ac5e468fbba1ecdf0e7039e75a22ae0153e784d7fb,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T01,1,primary,,,1,primary_candidate,,candidate,development,0,0,CV01,2215023969,,,,,,,32500,6500,10,2,1.5458131041191385,0.6600687816081293,1.2018207451419403,9.861538461538462,0.3123076923076923,0.24575149999873247,0.0018158329985453747,,54,54,6500,0.9350473612990527,0.7082336863682952,0.9426228544168958,0.12374987872462151,0.18703278033589596,True,1.4889520419965265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T01__primary__rfull__qraw__s01,826d90383fbbd515b00841ac5e468fbba1ecdf0e7039e75a22ae0153e784d7fb,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T01,1,primary,,,1,primary_candidate,,candidate,development,0,0,CV02,2215023969,,,,,,,29250,9750,9,3,1.6486607531228104,0.7039851659292459,1.211932156227391,19.753846153846155,0.41384615384615386,0.21917958300036844,0.0023262499962584116,,54,54,9750,0.5195822454308094,0.0603030303030303,0.610199436222692,0.25943566858662503,0.2131036860959723,True,1.987885708003887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T01__primary__rfull__qraw__s01,826d90383fbbd515b00841ac5e468fbba1ecdf0e7039e75a22ae0153e784d7fb,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T01,1,primary,,,1,primary_candidate,,candidate,development,0,0,CV03,2215023969,,,,,,,29250,9750,9,3,3.514037244052642,1.5005088752492861,1.7400082591171164,19.866666666666667,0.838974358974359,0.29906012499850476,0.0027991250026389025,,55,55,9750,0.37055837563451777,0.1483739837398374,0.8457499732158696,0.048094303451241154,0.025731739539205684,True,2.063816042005783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T01__primary__rfull__qraw__s01,826d90383fbbd515b00841ac5e468fbba1ecdf0e7039e75a22ae0153e784d7fb,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T01,1,primary,,,1,primary_candidate,,candidate,development,0,0,CV04,2215023969,,,,,,,32500,6500,10,2,2.760114611936221,1.1785806991445467,1.6102228485938161,20.0,0.6576923076923077,0.2665913750024629,0.0017102499987231568,,54,54,6500,0.0,0.0,0.7617481750407704,0.08413094327469516,0.04163928950222314,True,1.449276416999055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T01__primary__rfull__qraw__s01,826d90383fbbd515b00841ac5e468fbba1ecdf0e7039e75a22ae0153e784d7fb,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T01,1,primary,,,1,primary_candidate,,candidate,development,0,0,CV05,2215023969,,,,,,,32500,6500,10,2,1.2081995200536162,0.5159063427630594,0.9787049660370857,19.753846153846155,0.39384615384615385,0.24814895799499936,0.002259875000163447,,54,54,6500,0.3477157360406091,0.10719874804381847,0.6832637169457016,0.1621290219025795,0.1317421315570783,True,1.440327458003594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T02__primary__rfull__qraw__s02,6421a3a2c30c683a9928ab2e035ecb5a638d2736f46689bacaeb2bd27124a1e7,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T02,2,primary,,,2,primary_candidate,,candidate,development,0,0,CV01,1913486466,,,,,,,32500,6500,10,2,0.5295560640715175,0.2261226956049553,0.3758802229623978,9.96923076923077,0.3123076923076923,5.625584791996516,0.0019438749950495549,,54,54,6500,0.9696071163825055,0.893747864707892,0.9778494729145277,0.07929266454551691,0.14814949263643,True,6.859839875003672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T02__primary__rfull__qraw__s02,6421a3a2c30c683a9928ab2e035ecb5a638d2736f46689bacaeb2bd27124a1e7,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T02,2,primary,,,2,primary_candidate,,candidate,development,0,0,CV02,1913486466,,,,,,,29250,9750,9,3,0.7451264306105926,0.31817216058432485,0.4879685979218025,18.882153559016924,0.41384615384615386,5.461916375003057,0.0021050830036983825,,54,54,9750,0.49130434782608695,0.10272727272727272,0.7610292224571295,0.2115707561363488,0.17684836439156462,True,7.269994374997623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T02__primary__rfull__qraw__s02,6421a3a2c30c683a9928ab2e035ecb5a638d2736f46689bacaeb2bd27124a1e7,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T02,2,primary,,,2,primary_candidate,,candidate,development,0,0,CV03,1913486466,,,,,,,29250,9750,9,3,1.7408980699979166,0.7433708932246861,0.6998412098797383,19.590111754536924,0.838974358974359,5.757775125006447,0.0027957089987467043,,55,55,9750,0.30837004405286345,0.14227642276422764,0.8628628371507305,0.04574511310086595,0.03153138926287598,True,7.516034291998949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T02__primary__rfull__qraw__s02,6421a3a2c30c683a9928ab2e035ecb5a638d2736f46689bacaeb2bd27124a1e7,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T02,2,primary,,,2,primary_candidate,,candidate,development,0,0,CV04,1913486466,,,,,,,32500,6500,10,2,1.178096041585824,0.5030520291973033,0.5187371308788217,19.984615384615385,0.6576923076923077,6.44308175000333,0.0015321669998229481,,54,54,6500,1.0,0.0015822784810126582,0.8380437666640781,0.07762611897275618,0.03285794172155597,True,7.625417834002292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T02__primary__rfull__qraw__s02,6421a3a2c30c683a9928ab2e035ecb5a638d2736f46689bacaeb2bd27124a1e7,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T02,2,primary,,,2,primary_candidate,,candidate,development,0,0,CV05,1913486466,,,,,,,32500,6500,10,2,0.33355988783338986,0.14243149328261928,0.22491044518543202,18.56923076923077,0.39384615384615385,5.855015749999438,0.001800375001039356,,54,54,6500,0.39483020780537254,0.6095461658841941,0.7681766799785906,0.15842927325589107,0.10981343744316782,True,7.001034499997331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
