stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,task_key,effective_qubits,resolved_seed_index,status,training_seed,pooled_oof_rmse,pooled_oof_nrmse,unweighted_mean_fold_nrmse,mean_regret_m_s,fold_count,eligible_to_advance,task_signature,source_commit,source_split,exception_type,exception_message,calibration_rows_read,final_test_rows_read
tuning,C01,ridge_elastic_net,C01-T01,1,primary,,,,primary_candidate,,candidate,C01-T01__primary__rfull__qraw__s01,,1,complete,2215023969,2.3828318919359694,1.0174793702395397,0.9118099729388535,18.174358974358974,5,True,826d90383fbbd515b00841ac5e468fbba1ecdf0e7039e75a22ae0153e784d7fb,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T02,2,primary,,,,primary_candidate,,candidate,C01-T02__primary__rfull__qraw__s02,,2,complete,1913486466,1.0922844057709176,0.46641009509206605,0.3866298543787778,17.70524581556795,5,True,6421a3a2c30c683a9928ab2e035ecb5a638d2736f46689bacaeb2bd27124a1e7,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T03,3,primary,,,,primary_candidate,,candidate,C01-T03__primary__rfull__qraw__s03,,3,complete,3541654860,0.5976932200039908,0.25521755149584213,0.23059499215828252,15.59510332567641,5,True,075bb3826f71f8858ed1ca22148ac86199a10610e9fd73dd3e8d26240371408d,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T04,4,primary,,,,primary_candidate,,candidate,C01-T04__primary__rfull__qraw__s04,,4,complete,3875691749,0.25978090868749687,0.11092755484183878,0.09476545719312066,17.215687772236794,5,True,8b997b0af43255f4260eed9e87d62800fab380980f06ee1a4c86ca52ea1d677b,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T05,5,primary,,,,primary_candidate,,candidate,C01-T05__primary__rfull__qraw__s05,,5,complete,1404528401,2.3828318919359694,1.0174793702395397,0.9118099729388535,18.205128205128204,5,True,855aa33f643403f1e9d0c4ba1e89f0472bb6d9472ca0143a8f53404c21845261,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T06,6,primary,,,,primary_candidate,,candidate,C01-T06__primary__rfull__qraw__s06,,6,complete,1222615523,0.6194211542097098,0.2644954719765351,0.23868114153029357,15.59510332567641,5,True,e6c70238cc2d593ad912350b39543df89c4b416f9939f5b308adb8f0bd43f495,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T07,7,primary,,,,primary_candidate,,candidate,C01-T07__primary__rfull__qraw__s07,,7,complete,2629060497,0.5974376343797837,0.255108415345348,0.23048556539350903,15.59510332567641,5,True,d3de1eeb9c999cc4765628d619b8b702aef5f4ef1701f571f7b43f5860f0384b,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T08,8,primary,,,,primary_candidate,,candidate,C01-T08__primary__rfull__qraw__s08,,8,complete,3570788148,2.3828318919359694,1.0174793702395397,0.9118099729388535,17.72567240898859,5,True,99619e134f5b0a754c025508e539e2ccf28c2f525feb320e1128075e2c474f1f,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T09,9,primary,,,,primary_candidate,,candidate,C01-T09__primary__rfull__qraw__s09,,9,complete,4259321452,0.32850667645267256,0.14027375049315116,0.11525770538005035,17.005370457601536,5,True,68c2d3b5fe3515cc5ad4c7beba2c330181492ba253a1df63be94e2772b0a7b3c,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T10,10,primary,,,,primary_candidate,,candidate,C01-T10__primary__rfull__qraw__s10,,10,complete,2391688581,0.5748799993674705,0.24547620908518494,0.22297835126867266,15.59510332567641,5,True,fbf6f137639ec7dae6b5e549a4f5007c4a3b5fa3716e33df0cd7c017efcdacc8,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T11,11,primary,,,,primary_candidate,,candidate,C01-T11__primary__rfull__qraw__s11,,11,complete,4045607752,3.1914931153524053,1.3627811580506795,0.8798662776422536,16.60590466590577,5,True,bf6ced5e05123fd33a026586819b881c62254f1b15b87ffa3083e1b73cac11e5,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T12,12,primary,,,,primary_candidate,,candidate,C01-T12__primary__rfull__qraw__s12,,12,complete,496516663,0.05648007861440063,0.024117234209489205,0.024023599745023504,17.013088462521793,5,True,58484e70a3cf7849d1594c86553577ec0e977cd83f2e87645b7724d49b837436,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T13,13,primary,,,,primary_candidate,,candidate,C01-T13__primary__rfull__qraw__s13,,13,complete,3582365401,0.061829720498183825,0.026401554086749376,0.023219339768202944,15.731000761573846,5,True,34ce72e44333342fe7141a63c119e618ce055b152f9b0dbef0d0698c6123989a,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T14,14,primary,,,,primary_candidate,,candidate,C01-T14__primary__rfull__qraw__s14,,14,complete,169980759,0.16094335982642408,0.06872350036719502,0.04519344016934239,16.644451579853204,5,True,aa7e536c1fdad15366b59015e2dab9c82fcff00a38ba9c93df014bf81bea5570,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T15,15,primary,,,,primary_candidate,,candidate,C01-T15__primary__rfull__qraw__s15,,15,complete,2842242911,0.04117391452707429,0.017581436930184387,0.01535152507520928,15.59510332567641,5,True,8697ff50e68069a0ceff0bd27d0ff9e38e7ee2aef97a1fd3bd702d05a0b9bdc6,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T16,16,primary,,,,primary_candidate,,candidate,C01-T16__primary__rfull__qraw__s16,,16,complete,3581407679,0.04952480753649294,0.021147303825333943,0.018937849991540037,18.04102564102564,5,True,80c659949b0f3b676c03f8174d2c3d591d85163baa6e719982299d27ef0e62b4,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T17,17,primary,,,,primary_candidate,,candidate,C01-T17__primary__rfull__qraw__s17,,17,complete,3315654108,0.6109980779287213,0.2608987825168785,0.2356521755653865,15.59510332567641,5,True,4e25c1cd09d7f30607d16fbcb51c94594cb4a112023361df1fb5ddecf6d50e0e,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T18,18,primary,,,,primary_candidate,,candidate,C01-T18__primary__rfull__qraw__s18,,18,complete,1166092537,0.04103006259000667,0.017520011540155558,0.015337187941895855,15.59510332567641,5,True,32d9399da5cdfc1ff1a1fde2c96ebd4fb7ad1e275d10b30d7b82eb79f31b04a3,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T19,19,primary,,,,primary_candidate,,candidate,C01-T19__primary__rfull__qraw__s19,,19,complete,2027696698,1.5676011764968552,0.6693723813444923,0.5970632352379651,17.538675518337822,5,True,0b5f7c90c36e79f61d512a37d5ea4cf8a6d32fd230b53f82b4f8d15bc624b148,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
tuning,C01,ridge_elastic_net,C01-T20,20,primary,,,,primary_candidate,,candidate,C01-T20__primary__rfull__qraw__s20,,20,complete,621220452,7.708496404483848,3.291560807823342,2.588162955610426,16.644389508633335,5,True,cee79d1a97c8af596dbc0dcabe8290ffbb44152bdc95421b91ef441c928b2e35,6e5a6202eec486e88af6b969f6af86571fb0ce32,development,,,0,0
