screening_id,canonical_key,title,year,doi,source_record_ids,databases,search_ids,stage,decision,exclusion_reason,full_text_status,url
SCR00001,doi:10.1515/9783110670707-001,1. Introduction to quantum machine learning,2020,10.1515/9783110670707-001,https://openalex.org/W4213150318,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1515/9783110670707-001
SCR00002,title:1st fpga developers forum fdf meeting,1st FPGA Developers' Forum (FDF) meeting,2024,,https://openalex.org/W7137708563,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://cds.cern.ch/record/2903824
SCR00003,doi:10.1299/jsmetld.2001.10.133,2201 Design of Optimal Guidance and Tracking Control for a Lunar Lander,2001,10.1299/jsmetld.2001.10.133,https://openalex.org/W2733710435,OpenAlex,S1,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1299/jsmetld.2001.10.133
SCR00004,title:23rd space simulation conference proceedings,23rd Space Simulation Conference Proceedings,2019,,NTRS:20050203713,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20050203713
SCR00005,title:26th space simulation conference proceedings environmental testing the path forward,26th Space Simulation Conference Proceedings. Environmental Testing: The Path Forward,2019,,NTRS:20120007323,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20120007323
SCR00006,doi:10.1109/icara69401.2026.11480284,2D Nanomaterials and AI-Driven Control for Next-Generation Exoskeletons,2026,10.1109/icara69401.2026.11480284,https://openalex.org/W7155074685,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/icara69401.2026.11480284
SCR00007,title:2nd international planetary probe workshop,2nd International Planetary Probe Workshop,2019,,NTRS:20070014606,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20070014606
SCR00008,title:3 d cfd simulation and validation of oxygen rich hydrocarbon combustion in a gas centered swirl coaxial injector using a flamelet based approach,3-D CFD Simulation and Validation of Oxygen-Rich Hydrocarbon Combustion in a Gas-Centered Swirl Coaxial Injector using a Flamelet-Based Approach,2019,,NTRS:20150016319,NASA NTRS,S7,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://ntrs.nasa.gov/citations/20150016319
SCR00009,doi:10.1227/neu.0000000000003964_322,322 Artificial Intelligence Quantification of Hematoma and Perihematomal Edema Volumes in Intracerebral Hemorrhage (QUANTUM): A Multicenter Randomized-Controlled Trial,2026,10.1227/neu.0000000000003964_322,https://openalex.org/W7140369048,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1227/neu.0000000000003964_322
SCR00010,title:34th aiaa asme asce ahs asc structures structural dynamics and materials conference and aiaa asme adaptive structures forum la jolla ca apr 19 22 1993 technical papers pts 1 6,"34th AIAA/ASME/ASCE/AHS/ASC Structures, Structural Dynamics, and Materials Conference, and AIAA/ASME Adaptive Structures Forum, La Jolla, CA, Apr. 19-22, 1993, Technical Papers. Pts. 1-6",1995,,NTRS:19930049879,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/19930049879
