decision_id,protocol_id,model_id,primary_mean_nrmse,c06_mean_nrmse,paired_difference,ci_lower,ci_upper,development_rows,status,source_evidence
D034,P002,PRQK-08-N,0.029325889117374243,0.006832811015144496,0.022493078102229745,0.02248573639136908,0.022500454386411385,39000,complete_valid_negative,data/processed/reporting/post_gate5_d034_prqk/campaign_result.json
D035,P003,CFQSR-08-N,0.013462872284755376,0.006832811015144496,0.006630061269610877,0.0066274888429592345,0.006632445233484107,39000,complete_valid_negative,data/processed/reporting/post_gate5_d035_cfqsr/campaign_result.json
D036,P004,TAPQK-08,0.010381516791776601,0.006832811015144496,0.0035487057766321025,0.003546720774080026,0.0035505802473408308,39000,complete_valid_negative,data/processed/reporting/post_gate5_d036_tapqk/campaign_result.json
D037,P005,TSQR-08-L025,0.006847778168640048,0.006832811015144496,0.0000149671534955495,0.0000146573070048768,0.00001527008840569515,39000,complete_valid_negative,data/processed/reporting/post_gate5_d037_tsqr/campaign_result.json
D038,P006,GFRK-08-L010,0.006647158578346991,0.006832811015144496,-0.00018565243679750657,-0.00018711756670058123,-0.00018426567050470452,39000,complete_valid_negative,data/processed/reporting/post_gate5_d038_gfrk/campaign_result.json
D039,P007,EC-GFRK-08-L010,0.006466438730704106,0.006832811015144496,-0.0003663722844403918,-0.00036783193869412124,-0.00036500428592444513,39000,complete_valid_negative,data/processed/reporting/post_gate5_d039_ecgfrk/campaign_result.json
D040,P008,CE-GFRK-08-L010,0.006503666106316504,0.006832811015144496,-0.0003291449088279934,-0.00033033197634122646,-0.0003279319866062337,39000,complete_valid_negative,data/processed/reporting/post_gate5_d040_cegfrk/campaign_result.json
D041,P009,HEFRK-08-E050,0.006591973287967279,0.006832811015144496,-0.00024083772717721909,-0.00024178253510235613,-0.0002398754210052102,39000,complete_valid_negative,data/processed/reporting/post_gate5_d041_hefrk/campaign_result.json
D042,P010,AGEFRK-08-ADAPT,0.006523833999862919,0.006832811015144496,-0.0003089770152815788,-0.0003104035556631091,-0.000307594221674844,39000,complete_valid_negative,data/processed/reporting/post_gate5_d042_agefrk/campaign_result.json
D043,P011,SFRK-08-CV,0.006445379250544653,0.006832811015144496,-0.00038743176459984566,-0.0003886505612933329,-0.0003860263719409213,39000,complete_valid_negative,data/processed/reporting/post_gate5_d043_sfrk/campaign_result.json
D044,P012,NIFRK-08-NL,0.0067513949835512534,0.006832811015144496,-0.0000814160315932427,-0.0000839952264884471,-0.0000786811262311699,39000,complete_valid_negative,data/processed/reporting/post_gate5_d044_nifrk/campaign_result.json
D045,P013,MSFRK-ALL,0.006731045135588962,0.006832811015144496,-0.00010176587955553714,-0.00010331329882243829,-0.00010033158197101153,39000,complete_valid_negative,data/processed/reporting/post_gate5_d045_msfrk/campaign_result.json
D046,P014,ORFRK-08-R2,0.006436254898390411,0.006832811015144496,-0.0003965561167540863,-0.00039872156677033004,-0.0003942871906295889,39000,complete_valid_negative,data/processed/reporting/post_gate5_d046_orfrk/campaign_result.json
D047,P015,OMFRK-ALL,0.006951943644851079,0.006832811015144496,0.00011913262970658193,0.00011337192459171472,0.00012500884923932276,39000,complete_valid_negative,data/processed/reporting/post_gate5_d047_omfrk/campaign_result.json
D048,P016,NSORFRK-08,0.006590129761098464,0.006832811015144496,-0.00024268125404603466,-0.00024381738755974912,-0.00024151742641569262,39000,complete_valid_negative,data/processed/reporting/post_gate5_d048_nsorfrk/campaign_result.json
D049,P017,SSORFRK-08,0.006566433808976169,0.006832811015144496,-0.00026637720616832995,-0.0002676660283235568,-0.0002650532380462052,39000,complete_valid_negative,data/processed/reporting/post_gate5_d049_ssorfrk/campaign_result.json
